"Chen2"	"Lu1"	"Tomida1_a"
"AATF"	3	3	2
"ACKR3"	0	2	1
"ACTL6A"	6	2	4
"ACTR5"	1	0	1
"ADA"	2	2	0
"ADAM17"	2	0	1
"ADCY3"	1	2	1
"ADGRB2"	1	1	1
"ADGRF4"	0	2	0
"ADGRV1"	1	1	1
"ADIPOR2"	3	3	3
"ADM"	2	3	0
"ADNP"	1	0	0
"ADORA2B"	1	1	0
"AEBP2"	1	0	0
"AGFG1"	2	2	1
"AGO2"	2	1	1
"AIFM2"	3	2	2
"AJUBA"	0	1	0
"AKAP8"	3	2	2
"AKT1S1"	0	2	1
"ALX1"	1	2	2
"ANP32A"	1	0	2
"APEX1"	0	1	1
"ARAF"	0	0	1
"ARF3"	1	3	1
"ARF4"	1	1	1
"ARF5"	1	2	0
"ARF6"	1	1	0
"ARFGEF2"	2	0	2
"ARHGAP11A"	5	4	4
"ARHGAP19"	0	0	1
"ARHGAP39"	0	1	0
"ARHGEF39"	4	4	4
"ARHGEF4"	0	2	0
"ARHGEF5"	0	1	0
"ARID3A"	1	2	1
"ARL1"	1	1	0
"ARL2"	1	0	0
"ARL3"	0	1	0
"ARL4D"	0	2	0
"ARL5B"	1	0	0
"ARL6"	1	0	0
"ARNTL2"	3	4	5
"ARTN"	1	3	1
"ASB7"	0	0	1
"ASCC3"	1	1	1
"ASF1A"	2	0	2
"ASF1B"	7	7	6
"ASH2L"	2	1	1
"ASXL1"	0	1	1
"ATAD2"	7	5	6
"ATF2"	1	1	1
"ATF4"	1	1	1
"ATF5"	1	0	0
"ATF7IP"	0	0	1
"ATIC"	4	4	4
"ATOH7"	1	0	1
"ATP2A2"	3	5	4
"ATXN3"	1	0	0
"ATXN7L3"	1	3	2
"AURKA"	7	7	7
"AURKB"	7	7	7
"AVPR1A"	1	0	0
"AZI2"	1	0	0
"BAIAP2L1"	2	3	2
"BAK1"	0	0	1
"BANP"	2	1	0
"BARD1"	2	1	1
"BARX1"	0	1	0
"BASP1"	0	3	1
"BATF"	1	1	1
"BAX"	0	1	0
"BAZ2A"	0	1	0
"BCKDK"	1	1	1
"BCL10"	1	0	1
"BCL11A"	0	1	2
"BCL2L10"	1	1	1
"BCL2L13"	1	1	1
"BEX3"	1	0	0
"BID"	2	4	2
"BLM"	6	5	6
"BMP7"	0	2	0
"BNIP3"	3	1	2
"BPTF"	1	1	1
"BRAP"	1	1	2
"BRCA1"	6	5	5
"BRCA2"	2	1	1
"BRCC3"	0	1	0
"BRD4"	0	2	1
"BRIP1"	5	3	3
"BRMS1L"	1	0	0
"BUB1B"	7	7	7
"BUD31"	4	3	3
"BZW1"	2	2	1
"C1QBP"	2	2	1
"CABYR"	1	3	1
"CACNA1A"	1	0	0
"CAD"	5	5	5
"CALR"	0	1	0
"CAND1"	2	1	1
"CANT1"	1	0	0
"CARHSP1"	0	1	0
"CARS"	1	1	0
"CASK"	1	0	0
"CASP2"	0	1	0
"CASP3"	4	2	1
"CASP8AP2"	1	0	0
"CAVIN4"	1	0	0
