"Chen2"	"Lu1"	"Tomida1_a"
"ABCG1"	1	1	1
"ABLIM3"	4	1	3
"ACAD8"	2	3	1
"ACKR1"	6	3	6
"ACTN2"	1	1	1
"ACVR1"	1	1	1
"ACVR2A"	1	2	1
"ACVRL1"	1	1	1
"ADCY1"	1	0	0
"ADCY4"	2	1	3
"ADCY6"	1	1	1
"ADCY9"	4	5	4
"ADGRB3"	3	2	4
"ADGRD1"	4	4	3
"ADGRE5"	3	2	3
"ADGRF1"	1	1	1
"ADGRG2"	4	4	4
"ADGRG6"	0	2	1
"ADGRL2"	1	1	3
"ADGRL4"	1	0	1
"ADH1A"	1	2	2
"ADORA3"	1	1	1
"ADRA1D"	0	0	1
"ADRA2A"	4	3	3
"ADRB1"	2	3	3
"ADRB2"	7	5	7
"AFDN"	0	2	0
"AFF1"	1	4	1
"AFF3"	5	3	5
"AGER"	4	4	7
"AGTR1"	2	3	4
"AGTR2"	4	2	5
"AJUBA"	1	0	1
"AKAP13"	6	4	5
"AKAP7"	1	2	2
"AKT3"	2	0	1
"ANG"	2	2	2
"ANK2"	2	5	3
"ANK3"	1	4	1
"ANKDD1A"	1	0	0
"ANXA3"	1	1	1
"ANXA4"	1	2	1
"ANXA9"	1	0	1
"APBB1"	1	1	1
"APH1B"	3	3	2
"APLNR"	0	0	1
"APLP2"	2	4	2
"APOE"	0	0	1
"AR"	4	3	4
"ARAP3"	2	1	2
"ARHGAP17"	1	0	1
"ARHGAP18"	1	2	1
"ARHGAP20"	1	2	2
"ARHGAP24"	3	4	4
"ARHGAP25"	0	1	1
"ARHGAP26"	1	2	1
"ARHGAP28"	1	0	0
"ARHGAP29"	1	4	3
"ARHGAP31"	4	4	5
"ARHGAP44"	5	7	5
"ARHGAP45"	2	1	2
"ARHGAP6"	6	5	6
"ARHGDIB"	2	3	3
"ARHGEF10"	1	1	1
"ARHGEF10L"	1	1	1
"ARHGEF12"	3	3	2
"ARHGEF15"	4	1	5
"ARHGEF17"	7	3	4
"ARHGEF2"	3	1	2
"ARHGEF3"	2	4	1
"ARHGEF6"	0	4	1
"ARHGEF9"	1	2	1
"ARID1B"	1	1	1
"ARID4A"	2	4	1
"ARID5B"	1	0	0
"ARL6"	1	1	1
"ARNT"	1	0	0
"ARNT2"	1	0	1
"ARRB1"	2	3	3
"ARRB2"	1	1	1
"ARRDC2"	2	0	1
"ARX"	1	0	1
"ASAP3"	4	2	2
"ASB12"	0	1	0
"ASCL4"	1	1	1
"ASXL3"	0	0	1
"ATF6"	0	1	0
"ATF7IP"	0	1	0
"ATF7IP2"	1	0	0
"ATOH8"	4	4	4
"ATXN1"	1	1	0
"ATXN3"	2	2	1
"ATXN7"	1	4	0
"AXIN2"	3	2	3
"AZI2"	2	1	2
"AZU1"	1	0	0
"BAIAP2"	1	0	1
"BAMBI"	1	0	0
"BAZ2B"	0	2	0
"BCAM"	2	1	1
"BCAR3"	1	1	1
"BCL2L2"	1	0	0
"BCL6"	1	0	0
"BCL6B"	1	1	1
"BCLAF1"	2	2	2
"BCR"	1	0	0
"BMP2"	1	1	1
"BMP3"	2	1	1
"BMP4"	2	0	0
"BMP7"	1	1	1
"BMPR1A"	1	1	0
"BRD4"	1	0	0
"BTG1"	1	0	0
"BTG2"	4	4	4
"BTK"	1	1	1
"C5AR1"	1	0	0
"CACNB4"	0	1	0
"CALCOCO1"	5	4	3
"CALCRL"	0	0	2
"CAMK1"	1	0	1
"CAMK2A"	1	0	1
"CAMLG"	1	1	0
"CAMTA1"	2	4	1
"CAMTA2"	1	0	0
"CAND2"	2	1	1
"CAPN3"	7	7	5
"CAPN5"	1	0	0
"CAPS"	1	0	2
"CARD8"	1	3	1
"CARF"	1	1	0
"CARHSP1"	0	0	1
"CASP10"	2	1	1
"CASR"	1	0	0
"CASS4"	4	3	3
"CASZ1"	1	0	0
"CAT"	4	5	4
"CAV1"	2	3	4
"CAV2"	3	2	2
"CAVIN1"	1	0	0
"CBFA2T3"	4	3	5
"CBX7"	7	6	7
"CCND2"	0	0	1
"CCND3"	5	4	4
"CCR2"	1	1	2
"CCR6"	2	1	2
"CCR7"	0	0	1
"CCRL2"	0	0	1
"CD101"	2	1	1
"CD22"	0	0	1
"CD34"	4	1	5
"CD36"	2	2	4
"CD4"	0	0	2
"CD44"	0	3	0
"CD48"	1	0	0
"CD53"	0	1	0
"CD59"	2	2	2
"CD69"	0	1	0
"CD74"	2	3	3
"CD81"	5	3	6
"CD83"	2	5	3
"CDC42EP3"	0	1	0
"CDC42EP4"	0	0	1
"CDK12"	0	1	0
"CDK18"	1	0	0
"CDKL2"	3	5	3
"CDKN1C"	1	1	1
"CDKN2B"	0	0	1
"CDS1"	1	2	0
"CEACAM1"	1	0	1
"CEACAM6"	1	3	3
"CEBPA"	1	2	2
"CEBPD"	1	1	1
