"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"IMMUNE_SYSTEM_PROCESS"	119	197	32	1.3510412898476e-22	1.11460906412427e-19	"C5AR1 CCL5 CCR1 CCR5 CD2 CD274 CD3D CD4 CD86 CMKLR1 CSF1 GPR65 GZMA HCLS1 IL15 IL16 IL2RA IL2RG IRF8 LCK LCP2 LILRB2 MAFB MAP4K1 NLRC3 POU2F2 PTPRC SIRPG SIT1 TLR8 TNFRSF4 ZAP70"
"IMMUNE_RESPONSE"	119	132	21	4.22490800937074e-15	1.74277455386543e-12	"C5AR1 CCL5 CCR1 CCR5 CD274 CD86 CMKLR1 GPR65 GZMA IL15 IL16 IL2RA IL2RG IRF8 LCP2 LILRB2 POU2F2 PTPRC TLR8 TNFRSF4 ZAP70"
"T_CELL_ACTIVATION"	119	31	9	1.84343966570659e-10	5.06945908069311e-08	"CD2 CD3D CD4 LCK NLRC3 PTPRC SIRPG SIT1 ZAP70"
"DEFENSE_RESPONSE"	119	147	17	3.45788576043652e-10	7.13188938090033e-08	"APOL3 C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 CD48 CXCL10 ITK LILRB2 LILRB3 LILRB5 LSP1 PTPRC SP140 TLR8"
"T_CELL_DIFFERENTIATION"	119	8	5	1.37922138917429e-09	2.27571529213757e-07	"CD3D CD4 LCK PTPRC ZAP70"
"LYMPHOCYTE_ACTIVATION"	119	43	9	6.53498238291109e-09	8.98560077650275e-07	"CD2 CD3D CD4 LCK NLRC3 PTPRC SIRPG SIT1 ZAP70"
"LEUKOCYTE_ACTIVATION"	119	48	9	2.0524306636749e-08	2.41893613933113e-06	"CD2 CD3D CD4 LCK NLRC3 PTPRC SIRPG SIT1 ZAP70"
"CELL_ACTIVATION"	119	50	9	3.11852194235606e-08	3.02680070875736e-06	"CD2 CD3D CD4 LCK NLRC3 PTPRC SIRPG SIT1 ZAP70"
"HEMOPOIESIS"	119	50	9	3.11852194235606e-08	3.02680070875736e-06	"CD3D CD4 CSF1 HCLS1 LCK MAFB MAP4K1 PTPRC ZAP70"
"HEMOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT"	119	52	9	4.64652322937898e-08	3.83338166423766e-06	"CD3D CD4 CSF1 HCLS1 LCK MAFB MAP4K1 PTPRC ZAP70"
"IMMUNE_SYSTEM_DEVELOPMENT"	119	53	9	5.63319836952941e-08	4.22489877714706e-06	"CD3D CD4 CSF1 HCLS1 LCK MAFB MAP4K1 PTPRC ZAP70"
"SIGNAL_TRANSDUCTION"	119	1483	54	1.56534187019828e-07	1.07617253576132e-05	"APOL3 BTK C3AR1 C5AR1 CCL5 CCL8 CCR1 CCR5 CD14 CD2 CD274 CSF1R CXCL10 DOK2 ELMO1 FPR1 FPR3 GPR65 GZMA GZMB HCLS1 IFNG IL12RB1 IL15 IL15RA IL1B IL2RA IL2RB INPP5D KLRB1 KLRD1 LCK LCP2 LILRB2 LILRB3 LILRB4 LILRB5 LPXN LTB MAP4K1 MPP1 NLRC3 P2RX7 PSTPIP1 PTPRC RAC2 RHOG SH2D2A SIRPG SIT1 STAT4 STAT5A TLR1 TNFAIP3"
"LYMPHOCYTE_DIFFERENTIATION"	119	17	5	5.27265537301613e-07	3.34610821749101e-05	"CD3D CD4 LCK PTPRC ZAP70"
"LEUKOCYTE_DIFFERENTIATION"	119	27	6	6.0902515278574e-07	3.58889822177311e-05	"CD3D CD4 CSF1 LCK PTPRC ZAP70"
"REGULATION_OF_T_CELL_ACTIVATION"	119	19	5	1.11928534014329e-06	6.15606937078812e-05	"LCK PTPRC SIRPG SIT1 ZAP70"
"LOCOMOTORY_BEHAVIOR"	119	59	8	1.77970457156325e-06	9.176601697123e-05	"C5AR1 CCL5 CCL8 CCR5 CCR7 CMKLR1 CXCL10 FPR1"
"REGULATION_OF_LYMPHOCYTE_ACTIVATION"	119	23	5	3.90472225653192e-06	0.000189493874214049	"LCK PTPRC SIRPG SIT1 ZAP70"
"CELLULAR_CATION_HOMEOSTASIS"	119	68	8	6.01734744018201e-06	0.000275795091008342	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 LCK PTPRC"
"CATION_HOMEOSTASIS"	119	69	8	6.80684715071931e-06	0.000295560468386496	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 LCK PTPRC"
"CELLULAR_DEFENSE_RESPONSE"	119	39	6	8.67591221212652e-06	0.000357881378750219	"C5AR1 CCL5 CCR5 ITK LILRB2 LSP1"
"POSITIVE_REGULATION_OF_T_CELL_ACTIVATION"	119	16	4	9.90965124454868e-06	0.000389307727464413	"LCK PTPRC SIRPG ZAP70"
"REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	119	41	6	1.22753644941866e-05	0.000460326168531996	"LCK PTPRC SIRPG SIT1 TLR8 ZAP70"
"POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION"	119	18	4	1.88346395216415e-05	0.000675590330667577	"LCK PTPRC SIRPG ZAP70"
"ION_HOMEOSTASIS"	119	80	8	2.32368681007643e-05	0.000798767340963771	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 LCK PTPRC"
"HOMEOSTATIC_PROCESS"	119	124	10	2.76727306399893e-05	0.000913200111119646	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 HCLS1 LCK MAFB PTPRC"
"POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS"	119	47	6	3.11474647728746e-05	0.000988333016831597	"IFNG LCK PTPRC SIRPG TLR8 ZAP70"
"POSITIVE_REGULATION_OF_CELL_PROLIFERATION"	119	105	9	3.52867492714036e-05	0.00107820622773733	"CD86 CSF1 CXCL10 HCLS1 IL12RB1 IL15 PTPRC RHOG SIRPG"
"CELLULAR_HOMEOSTASIS"	119	86	8	4.17438216464991e-05	0.00122995188779863	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 LCK PTPRC"
"POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	119	34	5	4.3593227240401e-05	0.00124015215425279	"LCK PTPRC SIRPG TLR8 ZAP70"
"RESPONSE_TO_VIRUS"	119	22	4	5.43534296481774e-05	0.00149471931532488	"CCL5 CCL8 PTPRC TLR8"
"INFLAMMATORY_RESPONSE"	119	73	7	8.14206219006055e-05	0.00216683913122579	"APOL3 C3AR1 CCL5 CCR1 CCR5 CCR7 CXCL10"
"CHEMICAL_HOMEOSTASIS"	119	95	8	9.1976389757715e-05	0.00237126629844109	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 LCK PTPRC"
"BEHAVIOR"	119	99	8	0.00012687276025949	0.00317181900648726	"C5AR1 CCL5 CCL8 CCR5 CCR7 CMKLR1 CXCL10 FPR1"
"DEFENSE_RESPONSE_TO_VIRUS"	119	6	2	0.000141866634972944	0.0034423521721376	"PTPRC TLR8"
"REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS"	119	79	7	0.000143247664597275	0.00337655209407864	"IFNG LCK PTPRC SIRPG SIT1 TLR8 ZAP70"
"RESPONSE_TO_EXTERNAL_STIMULUS"	119	179	11	0.000185637792369834	0.00425419940847536	"APOL3 C3AR1 C5AR1 CCL5 CCL8 CCR1 CCR5 CCR7 CMKLR1 CXCL10 FPR1"
"POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS"	119	46	5	0.000250493562565897	0.00558532943559094	"CCND2 HCLS1 LTB TLR1 TLR8"
"RESPONSE_TO_CHEMICAL_STIMULUS"	119	160	10	0.000279700021059911	0.00607243466774808	"C5AR1 CCL5 CCL8 CCR5 CCR7 CMKLR1 CXCL10 FPR1 HCLS1 LCK"
"POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS"	119	48	5	0.000317838061182215	0.00672349744808532	"CCND2 HCLS1 LTB TLR1 TLR8"
"POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS"	119	18	3	0.000350915005482895	0.00723762198808471	"LTB TLR1 TLR8"
"ORGAN_DEVELOPMENT"	119	317	15	0.000428487044255601	0.00862199540270416	"BTK CD3D CD4 CMKLR1 CSF1 CXCL10 FLI1 HCLS1 IKZF1 ITGAX LCK MAFB MAP4K1 PTPRC ZAP70"
"RESPONSE_TO_OTHER_ORGANISM"	119	36	4	0.000624540122466984	0.0122677524056015	"CCL5 CCL8 PTPRC TLR8"
"POSITIVE_REGULATION_OF_TRANSLATION"	119	21	3	0.000655749878237911	0.0125812476638669	"LTB TLR1 TLR8"
"CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166"	119	577	22	0.000712444694191488	0.0133583380160904	"C3AR1 C5AR1 CCR1 CCR5 CD14 CD2 CD274 CXCL10 DOK2 FPR1 GPR65 IFNG IL12RB1 IL2RA IL2RB KLRB1 KLRD1 LCP2 LILRB2 LILRB3 LILRB5 PTPRC"
"RESPONSE_TO_WOUNDING"	119	100	7	0.000725063264011797	0.0132928265068829	"APOL3 C3AR1 CCL5 CCR1 CCR5 CCR7 CXCL10"
"EXOCYTOSIS"	119	10	2	0.000803470880917959	0.0144100755816808	"CCL5 CCL8"
"CELL_PROLIFERATION_GO_0008283"	119	309	14	0.000981067045800665	0.0172208577188415	"CD274 CD86 CSF1 CSF1R CXCL10 HCLS1 IL12RB1 IL15 IL15RA IL1B IL2RA PTPRC RHOG SIRPG"
"PROTEOGLYCAN_BIOSYNTHETIC_PROCESS"	119	3	1	0.00113475846670484	0.0195036611464894	"CHST11"
"REGULATION_OF_CELL_PROLIFERATION"	119	190	10	0.00119349971008408	0.0200946379759054	"CD86 CSF1 CXCL10 HCLS1 IL12RB1 IL15 IL1B PTPRC RHOG SIRPG"
"PHAGOCYTOSIS"	119	12	2	0.0014312437732026	0.0233817052057851	"CD14 ELMO1"
"MAINTENANCE_OF_LOCALIZATION"	119	12	2	0.0014312437732026	0.0233817052057851	"LCK PTPRC"
"JAK_STAT_CASCADE"	119	26	3	0.00151837197298759	0.0240895553406685	"HCLS1 STAT4 STAT5A"
"REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS"	119	27	3	0.00175564984245624	0.0273285116986112	"LTB TLR1 TLR8"
"REGULATION_OF_BIOLOGICAL_QUALITY"	119	230	11	0.00175892695056428	0.0268724950780654	"C3AR1 C5AR1 CCL5 CCR1 CCR5 CCR7 FLI1 HCLS1 LCK MAFB PTPRC"
"MYELOID_CELL_DIFFERENTIATION"	119	28	3	0.00201749406177529	0.0302624109266293	"CSF1 HCLS1 MAFB"
"SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS"	119	4	1	0.00224031085184534	0.0324255518030246	"CHST11"
"PROTEOGLYCAN_METABOLIC_PROCESS"	119	4	1	0.00224031085184534	0.0324255518030246	"CHST11"
"RESPIRATORY_GASEOUS_EXCHANGE"	119	4	1	0.00224031085184534	0.0324255518030246	"CSF2RB"
"CYTOKINE_BIOSYNTHETIC_PROCESS"	119	29	3	0.00230516291707604	0.032233210281148	"LTB TLR1 TLR8"
"CYTOKINE_METABOLIC_PROCESS"	119	30	3	0.00261990000683024	0.0360236250939158	"LTB TLR1 TLR8"
"MULTI_ORGANISM_PROCESS"	119	72	5	0.00276001385369247	0.037328056217972	"CCL5 CCL8 CD4 PTPRC TLR8"
