"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"IMMUNE_SYSTEM_PROCESS"	90	197	21	4.50586220524798e-14	3.71733631932959e-11	"CCL5 CD2 CD22 CD3D CD4 CD79B CIITA CMKLR1 CSF1 HCLS1 IL16 IL2RG LCK LILRB2 MAP4K1 PREX1 S1PR4 SIRPG SIT1 SPI1 ZAP70"
"T_CELL_ACTIVATION"	90	31	7	1.03858318941158e-08	4.28415565632276e-06	"CD2 CD3D CD4 LCK SIRPG SIT1 ZAP70"
"LEUKOCYTE_ACTIVATION"	90	48	8	2.46543657540413e-08	6.77995058236137e-06	"CD2 CD3D CD4 LCK PREX1 SIRPG SIT1 ZAP70"
"T_CELL_DIFFERENTIATION"	90	8	4	3.51141963070355e-08	7.24230298832608e-06	"CD3D CD4 LCK ZAP70"
"CELL_ACTIVATION"	90	50	8	3.59474990899988e-08	5.39212486349983e-06	"CD2 CD3D CD4 LCK PREX1 SIRPG SIT1 ZAP70"
"HEMOPOIESIS"	90	50	8	3.59474990899988e-08	5.39212486349983e-06	"CD3D CD4 CSF1 HCLS1 LCK MAP4K1 SPI1 ZAP70"
"HEMOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT"	90	52	8	5.15201059523474e-08	6.07201248724094e-06	"CD3D CD4 CSF1 HCLS1 LCK MAP4K1 SPI1 ZAP70"
"IMMUNE_SYSTEM_DEVELOPMENT"	90	53	8	6.13092455195195e-08	6.32251594420045e-06	"CD3D CD4 CSF1 HCLS1 LCK MAP4K1 SPI1 ZAP70"
"LYMPHOCYTE_ACTIVATION"	90	43	7	1.65057092310867e-07	1.51302334618295e-05	"CD2 CD3D CD4 LCK SIRPG SIT1 ZAP70"
"LEUKOCYTE_DIFFERENTIATION"	90	27	5	2.10173112061188e-06	0.00017339281745048	"CD3D CD4 CSF1 LCK ZAP70"
"IMMUNE_RESPONSE"	90	132	10	3.35058794174362e-06	0.000251294095630772	"CCL5 CD22 CD79B CIITA CMKLR1 IL16 IL2RG LILRB2 S1PR4 ZAP70"
"LYMPHOCYTE_DIFFERENTIATION"	90	17	4	3.4903580281922e-06	0.000239962114438214	"CD3D CD4 LCK ZAP70"
"REGULATION_OF_T_CELL_ACTIVATION"	90	19	4	6.40648307220903e-06	0.000406565271890188	"LCK SIRPG SIT1 ZAP70"
"REGULATION_OF_LYMPHOCYTE_ACTIVATION"	90	23	4	1.7688452485348e-05	0.00104235523574372	"LCK SIRPG SIT1 ZAP70"
"DEFENSE_RESPONSE"	90	147	9	5.69231221914396e-05	0.00313077172052918	"CCL5 CCR7 CD48 LILRA1 LILRB2 LILRB3 LSP1 SP140 SPN"
"POSITIVE_REGULATION_OF_T_CELL_ACTIVATION"	90	16	3	7.2523111518926e-05	0.00373947293769462	"LCK SIRPG ZAP70"
"POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION"	90	18	3	0.000119188990000622	0.00578417157355959	"LCK SIRPG ZAP70"
"CELLULAR_DEFENSE_RESPONSE"	90	39	4	0.000250928095992904	0.0115008710663414	"CCL5 LILRB2 LSP1 SPN"
"REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	90	41	4	0.000319056547576788	0.0138537711447816	"LCK SIRPG SIT1 ZAP70"
"MYELOID_CELL_DIFFERENTIATION"	90	28	3	0.00071186317115229	0.029364355810032	"CSF1 HCLS1 SPI1"
"ORGAN_DEVELOPMENT"	90	317	12	0.000739454782310564	0.0290500093050579	"BTK CD3D CD4 CMKLR1 CSF1 HCLS1 IKZF1 ITGAX LCK MAP4K1 SPI1 ZAP70"
"PHOSPHOLIPASE_C_ACTIVATION"	90	14	2	0.00102722795903982	0.0385210484639932	"PLCB2 S1PR4"
"SUPEROXIDE_METABOLIC_PROCESS"	90	4	1	0.0012862173982992	0.0461360588520365	"PREX1"
"POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	90	34	3	0.00150643531399916	0.0517837139187212	"LCK SIRPG ZAP70"
"LOCOMOTORY_BEHAVIOR"	90	59	4	0.00172785608994192	0.0570192509680834	"CCL5 CCR7 CMKLR1 SPN"
"MESODERM_DEVELOPMENT"	90	17	2	0.00185802733436818	0.0578442472020282	"BTK IKZF1"
"HOMEOSTASIS_OF_NUMBER_OF_CELLS"	90	17	2	0.00185802733436818	0.0578442472020282	"HCLS1 SPI1"
"RESPONSE_TO_DRUG"	90	5	1	0.00212296097231154	0.0625515286484649	"LCK"
"POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS"	90	18	2	0.00220579500324169	0.0627510647473929	"LTB SPN"
"HOMEOSTATIC_PROCESS"	90	124	6	0.00233431121681112	0.0641935584623058	"CCL5 CCR7 HCLS1 LCK S1PR4 SPI1"
"REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN"	90	6	1	0.00315367440525242	0.0839284317526854	"HCLS1"
"CELLULAR_CATION_HOMEOSTASIS"	90	68	4	0.00324036621991897	0.0835406916072859	"CCL5 CCR7 LCK S1PR4"
"CATION_HOMEOSTASIS"	90	69	4	0.00345320453333095	0.0863301133332737	"CCL5 CCR7 LCK S1PR4"
"POSITIVE_REGULATION_OF_TRANSLATION"	90	21	2	0.00348128726959409	0.0844724116886801	"LTB SPN"
"REGULATION_OF_CELL_DIFFERENTIATION"	90	43	3	0.00362130546832807	0.0853593431820188	"MAP4K1 SPI1 ZAP70"
"RNA_ELONGATION"	90	7	1	0.00437253394103173	0.10020390281531	"ELL"
"POSITIVE_REGULATION_OF_CELL_PROLIFERATION"	90	105	5	0.00452310432235094	0.100853001782149	"CSF1 FLT3LG HCLS1 IL12RB1 SIRPG"
"REGULATION_OF_CELL_ADHESION"	90	23	2	0.00453729717737745	0.0985071097720104	"SIRPG SPN"
"POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS"	90	46	3	0.00462931387240034	0.0979277934546225	"HCLS1 LTB SPN"
"POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS"	90	47	3	0.00500330826544887	0.103193232974883	"LCK SIRPG ZAP70"
"POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY"	90	48	3	0.00539708286802728	0.107291406412591	"LCK PLCB2 S1PR4"
"POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS"	90	48	3	0.00539708286802728	0.107291406412591	"HCLS1 LTB SPN"
"OXYGEN_AND_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS"	90	8	1	0.00577384279434637	0.105853784563017	"PREX1"
"REGULATION_OF_JAK_STAT_CASCADE"	90	8	1	0.00577384279434637	0.105853784563017	"HCLS1"
"REGULATION_OF_CELL_CELL_ADHESION"	90	8	1	0.00577384279434637	0.105853784563017	"SIRPG"
"POSITIVE_REGULATION_OF_CELL_ADHESION"	90	8	1	0.00577384279434637	0.105853784563017	"SIRPG"
"TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN"	90	8	1	0.00577384279434637	0.105853784563017	"HCLS1"
"REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS"	90	79	4	0.00616718220228603	0.105998444101791	"LCK SIRPG SIT1 ZAP70"
"JAK_STAT_CASCADE"	90	26	2	0.00645075161895631	0.108609593584468	"HCLS1 STAT5A"
"ION_HOMEOSTASIS"	90	80	4	0.00650264446586143	0.107293633686714	"CCL5 CCR7 LCK S1PR4"
"REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS"	90	27	2	0.0071799545088202	0.116146322936797	"LTB SPN"
"DEFENSE_RESPONSE_TO_BACTERIUM"	90	9	1	0.00735202873036994	0.115531880048671	"SPN"
"POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION"	90	9	1	0.00735202873036994	0.115531880048671	"HCLS1"
"CYTOKINE_BIOSYNTHETIC_PROCESS"	90	29	2	0.00877993397457931	0.134137880167184	"LTB SPN"
"CELLULAR_HOMEOSTASIS"	90	86	4	0.00878901271672805	0.131835190750921	"CCL5 CCR7 LCK S1PR4"
"PROTEIN_POLYMERIZATION"	90	10	1	0.0091016416871117	0.131734287576617	"PREX1"
"ACTIN_FILAMENT_POLYMERIZATION"	90	10	1	0.0091016416871117	0.131734287576617	"PREX1"
"EXOCYTOSIS"	90	10	1	0.0091016416871117	0.131734287576617	"CCL5"
"RESPONSE_TO_CHEMICAL_STIMULUS"	90	160	6	0.0094060305756985	0.131525003812733	"CCL5 CCR7 CMKLR1 HCLS1 LCK SPN"
"CYTOKINE_METABOLIC_PROCESS"	90	30	2	0.00965198851411616	0.132714842069097	"LTB SPN"
"REGULATION_OF_GENE_SPECIFIC_TRANSCRIPTION"	90	11	1	0.0110173514397321	0.147793738825675	"SPI1"
"ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CELL_POLARITY"	90	11	1	0.0110173514397321	0.147793738825675	"SPN"
"PHAGOCYTOSIS"	90	12	1	0.013093945306113	0.168789138711613	"ELMO1"
"MYELOID_LEUKOCYTE_DIFFERENTIATION"	90	12	1	0.013093945306113	0.168789138711613	"CSF1"
"MAINTENANCE_OF_LOCALIZATION"	90	12	1	0.013093945306113	0.168789138711613	"LCK"
"CHEMICAL_HOMEOSTASIS"	90	95	4	0.0131804861640777	0.164756077050971	"CCL5 CCR7 LCK S1PR4"
"PEPTIDYL_AMINO_ACID_MODIFICATION"	90	34	2	0.0136328160605798	0.16786676492505	"HCLS1 MAP4K1"
"SYSTEM_DEVELOPMENT"	90	449	12	0.0146921829900927	0.178250749512154	"BTK CD3D CD4 CMKLR1 CSF1 HCLS1 IKZF1 ITGAX LCK MAP4K1 SPI1 ZAP70"
"REGULATION_OF_HYDROLASE_ACTIVITY"	90	64	3	0.0147294619454445	0.176113131956402	"LCK PLCB2 S1PR4"
"GLYCOLIPID_METABOLIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"PEROXISOME_ORGANIZATION_AND_BIOGENESIS"	90	1	0	0.0148662041625371	0.160321809595989	""
"INTERCELLULAR_JUNCTION_ASSEMBLY"	90	1	0	0.0148662041625371	0.160321809595989	""
"INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT"	90	1	0	0.0148662041625371	0.160321809595989	""
"VITAMIN_TRANSPORT"	90	1	0	0.0148662041625371	0.160321809595989	""
"COENZYME_BIOSYNTHETIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"PROTEIN_TARGETING_TO_MEMBRANE"	90	1	0	0.0148662041625371	0.160321809595989	""
"BILE_ACID_METABOLIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"OLIGOSACCHARIDE_METABOLIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"XENOBIOTIC_METABOLIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"GLYCOSPHINGOLIPID_METABOLIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"AMINE_BIOSYNTHETIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"AMINO_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"SPHINGOLIPID_BIOSYNTHETIC_PROCESS"	90	1	0	0.0148662041625371	0.160321809595989	""
"ACTIVATION_OF_JNK_ACTIVITY"	90	13	1	0.0153263258929925	0.148755516020221	"MAP4K1"
"RESPONSE_TO_BACTERIUM"	90	13	1	0.0153263258929925	0.148755516020221	"SPN"
"NEGATIVE_REGULATION_OF_CELL_ADHESION"	90	13	1	0.0153263258929925	0.148755516020221	"SPN"
"BEHAVIOR"	90	99	4	0.0155381055303011	0.147344104166648	"CCL5 CCR7 CMKLR1 SPN"
"RESPONSE_TO_OTHER_ORGANISM"	90	36	2	0.0159243812550789	0.149291074266364	"CCL5 SPN"
"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"	90	558	14	0.016679779357332	0.154615932244931	"BTK CD3D CD4 CMKLR1 CSF1 HCLS1 HLX IKZF1 ITGAX LCK MAP4K1 SPI1 TBX21 ZAP70"
"REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION"	90	14	1	0.0177095088819846	0.161440274338534	"HCLS1"
"ACTIN_POLYMERIZATION_AND_OR_DEPOLYMERIZATION"	90	14	1	0.0177095088819846	0.161440274338534	"PREX1"
"POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY"	90	142	5	0.018609362957555	0.166877439565031	"CD4 LCK MAP4K1 PLCB2 S1PR4"
"REGULATION_OF_TRANSLATION"	90	39	2	0.0197443234727019	0.175151256612678	"LTB SPN"
"CALCIUM_MEDIATED_SIGNALING"	90	15	1	0.0202386208548162	0.175756444265509	"BTK"
"POSITIVE_REGULATION_OF_JNK_ACTIVITY"	90	15	1	0.0202386208548162	0.175756444265509	"MAP4K1"
"POSITIVE_REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION"	90	15	1	0.0202386208548162	0.175756444265509	"HCLS1"
"SIGNAL_TRANSDUCTION"	90	1483	30	0.0210952290985023	0.179418185631592	"BTK CCL5 CD2 CD244 CD33 DOK2 ELMO1 FLT3LG GMIP HCLS1 IL12RB1 IL2RB INPP5D LCK LILRA1 LILRB2 LILRB3 LPXN LTB MAP4K1 NFATC1 P2RX1 P2RX7 PLCB2 RAC2 S1PR4 SH2D3C SIRPG SIT1 STAT5A"
"MULTI_ORGANISM_PROCESS"	90	72	3	0.0218140697366057	0.183638852374487	"CCL5 CD4 SPN"
"REGULATION_OF_CELL_PROLIFERATION"	90	190	6	0.0223984032376369	0.186653360313641	"CD33 CSF1 FLT3LG HCLS1 IL12RB1 SIRPG"
"REGULATION_OF_MYELOID_CELL_DIFFERENTIATION"	90	16	1	0.0229088971571227	0.188998401546263	"SPI1"
"G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING"	90	43	2	0.0255570592056522	0.208758156877852	"PLCB2 S1PR4"
"POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION"	90	17	1	0.0257156798001567	0.20597510519543	"ZAP70"
"RESPONSE_TO_OXIDATIVE_STRESS"	90	17	1	0.0257156798001567	0.20597510519543	"CCL5"
"REGULATION_OF_JNK_ACTIVITY"	90	17	1	0.0257156798001567	0.20597510519543	"MAP4K1"
"ANATOMICAL_STRUCTURE_DEVELOPMENT"	90	537	13	0.0261795693737101	0.205696616507722	"BTK CD3D CD4 CMKLR1 CSF1 HCLS1 IKZF1 ITGAX LCK MAP4K1 SPI1 SPN ZAP70"
"JNK_CASCADE"	90	44	2	0.0271388836471019	0.211222443479802	"MAP4K1 SH2D3C"
"ACTIVATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR"	90	18	1	0.0286544153997711	0.220933576680478	"PRKCQ"
"GLUCAN_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"BIOGENIC_AMINE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"PROTEIN_TARGETING_TO_MITOCHONDRION"	90	2	0	0.0295138237933603	0.19636213410905	""
"FATTY_ACID_BETA_OXIDATION"	90	2	0	0.0295138237933603	0.19636213410905	""
"GLUCOSE_CATABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"CENTROSOME_ORGANIZATION_AND_BIOGENESIS"	90	2	0	0.0295138237933603	0.19636213410905	""
"HETEROPHILIC_CELL_ADHESION"	90	2	0	0.0295138237933603	0.19636213410905	""
"POST_GOLGI_VESICLE_MEDIATED_TRANSPORT"	90	2	0	0.0295138237933603	0.19636213410905	""
"EPITHELIAL_CELL_DIFFERENTIATION"	90	2	0	0.0295138237933603	0.19636213410905	""
"RESPONSE_TO_XENOBIOTIC_STIMULUS"	90	2	0	0.0295138237933603	0.19636213410905	""
"AMINO_ACID_DERIVATIVE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"RESPONSE_TO_CARBOHYDRATE_STIMULUS"	90	2	0	0.0295138237933603	0.19636213410905	""
"PEPTIDE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"TRNA_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"BIOPOLYMER_BIOSYNTHETIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"INTERCELLULAR_JUNCTION_ASSEMBLY_AND_MAINTENANCE"	90	2	0	0.0295138237933603	0.19636213410905	""
"RRNA_PROCESSING"	90	2	0	0.0295138237933603	0.19636213410905	""
"ESTABLISHMENT_OF_VESICLE_LOCALIZATION"	90	2	0	0.0295138237933603	0.19636213410905	""
"HEME_BIOSYNTHETIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"PROTEIN_AMINO_ACID_LIPIDATION"	90	2	0	0.0295138237933603	0.19636213410905	""
"MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION_AND_BIOGENESIS"	90	2	0	0.0295138237933603	0.19636213410905	""
"SODIUM_ION_TRANSPORT"	90	2	0	0.0295138237933603	0.19636213410905	""
"COFACTOR_TRANSPORT"	90	2	0	0.0295138237933603	0.19636213410905	""
"VESICLE_LOCALIZATION"	90	2	0	0.0295138237933603	0.19636213410905	""
"MRNA_SPLICE_SITE_SELECTION"	90	2	0	0.0295138237933603	0.19636213410905	""
"ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT"	90	2	0	0.0295138237933603	0.19636213410905	""
"TRICARBOXYLIC_ACID_CYCLE_INTERMEDIATE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"CENTROSOME_CYCLE"	90	2	0	0.0295138237933603	0.19636213410905	""
"POLYSACCHARIDE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"CARBOHYDRATE_CATABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"HEME_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"CELLULAR_POLYSACCHARIDE_METABOLIC_PROCESS"	90	2	0	0.0295138237933603	0.19636213410905	""
"PHOSPHOINOSITIDE_MEDIATED_SIGNALING"	90	46	2	0.0304564209233842	0.177572772168141	"PLCB2 S1PR4"
"STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_PATHWAY"	90	46	2	0.0304564209233842	0.177572772168141	"MAP4K1 SH2D3C"
"PEPTIDYL_TYROSINE_PHOSPHORYLATION"	90	19	1	0.0317206531520526	0.182366124393334	"HCLS1"
"PEPTIDYL_TYROSINE_MODIFICATION"	90	19	1	0.0317206531520526	0.182366124393334	"HCLS1"
"REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS"	90	82	3	0.0331882150657145	0.188829499511824	"HCLS1 LTB SPN"
"PROTEIN_AMINO_ACID_PHOSPHORYLATION"	90	208	6	0.0344425443835815	0.19462396655106	"BTK HCLS1 LCK MAP4K1 PRKCB STK10"
"POSITIVE_REGULATION_OF_PHOSPHORYLATION"	90	20	1	0.0349100428449878	0.19459990099402	"HCLS1"
"PHOSPHOLIPID_METABOLIC_PROCESS"	90	20	1	0.0349100428449878	0.19459990099402	"PLCB2"
"CYTOKINE_AND_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY"	90	20	1	0.0349100428449878	0.19459990099402	"IL2RB"
"POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS"	90	21	1	0.0382183329055555	0.210200830980555	"HCLS1"
"TRANSLATION"	90	51	2	0.0396401292528001	0.216576865122915	"LTB SPN"
"RESPONSE_TO_VIRUS"	90	22	1	0.0416413684816502	0.224536790832427	"CCL5"
"RESPONSE_TO_HORMONE_STIMULUS"	90	22	1	0.0416413684816502	0.224536790832427	"HCLS1"
"POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS"	90	22	1	0.0416413684816502	0.224536790832427	"HCLS1"
"RESPONSE_TO_BIOTIC_STIMULUS"	90	53	2	0.043664500192136	0.232407823603305	"CCL5 SPN"
"POSITIVE_REGULATION_OF_CELLULAR_PROCESS"	90	522	12	0.0437540466956593	0.231391593102044	"BTK CD2 CSF1 FLT3LG HCLS1 IL12RB1 LCK LTB SIRPG SPI1 SPN ZAP70"
"SPLICEOSOME_ASSEMBLY"	90	3	0	0.0439460372531417	0.212642115741008	""
"REGULATION_OF_CELLULAR_PH"	90	3	0	0.0439460372531417	0.212642115741008	""
"LYSOSOME_ORGANIZATION_AND_BIOGENESIS"	90	3	0	0.0439460372531417	0.212642115741008	""
"AMINO_ACID_TRANSPORT"	90	3	0	0.0439460372531417	0.212642115741008	""
"SPERMATID_DEVELOPMENT"	90	3	0	0.0439460372531417	0.212642115741008	""
"ORGANIC_ACID_TRANSPORT"	90	3	0	0.0439460372531417	0.212642115741008	""
"CYTOPLASM_ORGANIZATION_AND_BIOGENESIS"	90	3	0	0.0439460372531417	0.212642115741008	""
"RESPONSE_TO_TOXIN"	90	3	0	0.0439460372531417	0.212642115741008	""
"GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"PROTEOGLYCAN_BIOSYNTHETIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"RESPONSE_TO_HEAT"	90	3	0	0.0439460372531417	0.212642115741008	""
"SPERM_MOTILITY"	90	3	0	0.0439460372531417	0.212642115741008	""
"AMINO_ACID_CATABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"PROTEIN_STABILIZATION"	90	3	0	0.0439460372531417	0.212642115741008	""
"CALCIUM_INDEPENDENT_CELL_CELL_ADHESION"	90	3	0	0.0439460372531417	0.212642115741008	""
"AMINE_CATABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS"	90	3	0	0.0439460372531417	0.212642115741008	""
"CARBOXYLIC_ACID_TRANSPORT"	90	3	0	0.0439460372531417	0.212642115741008	""
"EMBRYO_IMPLANTATION"	90	3	0	0.0439460372531417	0.212642115741008	""
"VITAMIN_METABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"LIPOPROTEIN_BIOSYNTHETIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"PROTEIN_AMINO_ACID_O_LINKED_GLYCOSYLATION"	90	3	0	0.0439460372531417	0.212642115741008	""
"ACUTE_INFLAMMATORY_RESPONSE"	90	3	0	0.0439460372531417	0.212642115741008	""
"COFACTOR_BIOSYNTHETIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"RRNA_METABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"SPERMATID_DIFFERENTIATION"	90	3	0	0.0439460372531417	0.212642115741008	""
"MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION"	90	3	0	0.0439460372531417	0.212642115741008	""
"NITROGEN_COMPOUND_CATABOLIC_PROCESS"	90	3	0	0.0439460372531417	0.212642115741008	""
"SECRETORY_PATHWAY"	90	23	1	0.0451750895582476	0.201456480462455	"CCL5"
"CYTOKINE_PRODUCTION"	90	54	2	0.045750645429419	0.202926249888552	"LTB SPN"
"REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION"	90	24	1	0.048815529107237	0.21421708251846	"HCLS1"
"POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY"	90	24	1	0.048815529107237	0.21421708251846	"PRKCQ"
"CASPASE_ACTIVATION"	90	24	1	0.048815529107237	0.21421708251846	"LCK"
"REGULATION_OF_PROTEIN_METABOLIC_PROCESS"	90	93	3	0.0490610969490197	0.213028447278638	"HCLS1 LTB SPN"
"PHOSPHORYLATION"	90	228	6	0.0522002002109248	0.22547206897389	"BTK HCLS1 LCK MAP4K1 PRKCB STK10"
"POSITIVE_REGULATION_OF_BINDING"	90	25	1	0.0525588112703512	0.225252048301505	"PRKCQ"
"POSITIVE_REGULATION_OF_DNA_BINDING"	90	25	1	0.0525588112703512	0.225252048301505	"PRKCQ"
"REGULATION_OF_BIOLOGICAL_QUALITY"	90	230	6	0.0542444935015059	0.230678902777023	"CCL5 CCR7 HCLS1 LCK S1PR4 SPI1"
"INDUCTION_OF_APOPTOSIS_BY_EXTRACELLULAR_SIGNALS"	90	26	1	0.056401149574634	0.238620248200375	"BTK"
"SYNAPTOGENESIS"	90	4	0	0.0581659772047559	0.225820852677288	""
"ENERGY_RESERVE_METABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
