"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"HALLMARK_MYC_TARGETS_V1"	73	59	11	2.64555993512273e-12	1.32277996756137e-10	"CBX3 COPS5 DEK HDAC2 HSPE1 ILF2 ORC2 PRDX3 SRPK1 YWHAQ PTGES3"
"HALLMARK_E2F_TARGETS"	73	92	7	1.25288101683492e-05	0.00031322025420873	"ASF1A DEK IPO7 MSH2 ORC2 RAD21 RBBP7"
"HALLMARK_MYC_TARGETS_V2"	73	16	3	3.17425430041529e-05	0.000529042383402548	"CBX3 HSPE1 TFB2M"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	73	21	2	0.00191425493141984	0.023928186642748	"FH PRDX3"
"HALLMARK_FATTY_ACID_METABOLISM"	73	23	2	0.00250531917920898	0.0250531917920898	"FH HSP90AA1"
"HALLMARK_MTORC1_SIGNALING"	73	57	3	0.00474631445641492	0.0395526204701243	"COPS5 EEF1E1 HSPE1"
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	73	19	1	0.0214819758772847	0.153442684837748	"GLRX2"
"HALLMARK_ADIPOGENESIS"	73	54	2	0.0269042926876285	0.168151829297678	"MAP4K3 PRDX3"
"HALLMARK_PROTEIN_SECRETION"	73	34	1	0.0628033962884494	0.330544190991839	"CLTC"
"HALLMARK_PEROXISOME"	73	34	1	0.0628033962884494	0.330544190991839	"MSH2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	73	36	1	0.0694607969528586	0.315730895240267	"HDAC2"
"HALLMARK_XENOBIOTIC_METABOLISM"	73	38	1	0.0763389528341233	0.31807897014218	"PTGES3"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	73	86	2	0.0847816166797868	0.326083141076103	"CLTC ATF1"
"HALLMARK_SPERMATOGENESIS"	73	47	1	0.109657373421134	0.391633476504049	"GMCL1"
"HALLMARK_G2M_CHECKPOINT"	73	97	2	0.111467002276516	0.371556674255054	"MNAT1 RAD21"
"HALLMARK_MITOTIC_SPINDLE"	73	102	2	0.12454723321914	0.389210103809812	"ECT2 TLK1"
"HALLMARK_DNA_REPAIR"	73	51	1	0.125504843758683	0.369131893407892	"POLR2K"
"HALLMARK_GLYCOLYSIS"	73	53	1	0.133625159523619	0.371180998676718	"POLR3K"
"HALLMARK_ANGIOGENESIS"	73	13	0	0.146035875567352	0.384304935703557	""
"HALLMARK_APICAL_SURFACE"	73	21	0	0.225226401314798	0.549332686133654	""
"HALLMARK_PANCREAS_BETA_CELLS"	73	21	0	0.225226401314798	0.549332686133654	""
"HALLMARK_UV_RESPONSE_UP"	73	76	1	0.23311082132624	0.529797321196	"CDC5L"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	73	22	0	0.234601251754715	0.510002721205903	""
"HALLMARK_NOTCH_SIGNALING"	73	27	0	0.279823101847614	0.559646203695228	""
"HALLMARK_HEDGEHOG_SIGNALING"	73	27	0	0.279823101847614	0.559646203695228	""
"HALLMARK_BILE_ACID_METABOLISM"	73	27	0	0.279823101847614	0.559646203695228	""
"HALLMARK_APOPTOSIS"	73	103	1	0.353725572032187	0.655047355615161	"DAP3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	73	36	0	0.354678551280814	0.633354555858596	""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	73	39	0	0.377882429105934	0.65152142949299	""
"HALLMARK_COAGULATION"	73	44	0	0.414740230690367	0.691233717817279	""
"HALLMARK_ANDROGEN_RESPONSE"	73	46	0	0.428872677718788	0.691730125352885	""
"HALLMARK_TGF_BETA_SIGNALING"	73	47	0	0.435812140855694	0.680956470087022	""
"HALLMARK_HEME_METABOLISM"	73	63	0	0.536173687147281	0.812384374465578	""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	73	64	0	0.541825384833519	0.79680203651988	""
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	73	66	0	0.552925784778676	0.789893978255251	""
"HALLMARK_KRAS_SIGNALING_DN"	73	74	0	0.59473584066569	0.82602200092457	""
"HALLMARK_HYPOXIA"	73	79	0	0.618883148401328	0.82517753120177	""
"HALLMARK_ESTROGEN_RESPONSE_LATE"	73	79	0	0.618883148401328	0.82517753120177	""
"HALLMARK_APICAL_JUNCTION"	73	83	0	0.637174386699153	0.816890239357888	""
"HALLMARK_MYOGENESIS"	73	84	0	0.641610204781712	0.79211136392804	""
"HALLMARK_UV_RESPONSE_DN"	73	84	0	0.641610204781712	0.79211136392804	""
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	73	91	0	0.671198124197647	0.79904538594958	""
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	73	93	0	0.679200003722094	0.780689659450683	""
"HALLMARK_COMPLEMENT"	73	93	0	0.679200003722094	0.780689659450683	""
"HALLMARK_KRAS_SIGNALING_UP"	73	97	0	0.694631911340667	0.771813234822963	""
"HALLMARK_IL2_STAT5_SIGNALING"	73	107	0	0.730080945216848	0.793566244800921	""
"HALLMARK_P53_PATHWAY"	73	108	0	0.733394227712084	0.780206625225621	""
"HALLMARK_ALLOGRAFT_REJECTION"	73	121	0	0.772984828551758	0.805192529741415	""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	73	128	0	0.791839370573657	0.807999357728222	""
"HALLMARK_INFLAMMATORY_RESPONSE"	73	141	0	0.822847781033832	0.822847781033832	""
