"CTL"	"dysfunction"
"ABCA1"	2	0
"ABCC8"	0	0
"ABCC9"	0	0
"ABCG1"	1	1
"ABI1"	0	0
"ABLIM3"	1	2
"ACAD8"	0	0
"ACAP1"	5	4
"ACAP2"	0	0
"ACAP3"	0	0
"ACIN1"	0	0
"ACKR1"	2	1
"ACOT11"	0	0
"ACTL6A"	0	0
"ACTL6B"	0	2
"ACTR5"	0	0
"ACVR1"	0	0
"ACVR1B"	0	0
"ACVR2B"	0	0
"ACVRL1"	0	3
"ADA"	3	0
"ADAM10"	0	0
"ADAM11"	0	1
"ADAM17"	0	0
"ADAP1"	0	0
"ADAP2"	2	2
"ADCY1"	0	0
"ADCY3"	1	0
"ADCY4"	0	3
"ADCY6"	0	0
"ADCY7"	0	0
"ADCY9"	0	1
"ADCYAP1R1"	0	0
"ADGRA2"	0	0
"ADGRA3"	0	0
"ADGRB1"	0	0
"ADGRB3"	0	0
"ADGRD1"	0	0
"ADGRE3"	1	1
"ADGRE5"	2	1
"ADGRF1"	0	0
"ADGRG1"	0	0
"ADGRG2"	0	0
"ADGRG3"	3	2
"ADGRG5"	1	1
"ADGRL1"	0	0
"ADGRL4"	0	0
"ADGRV1"	0	0
"ADH1A"	0	1
"ADIPOR1"	0	0
"ADIPOR2"	0	0
"ADM"	0	0
"ADM2"	0	1
"ADNP"	0	0
"ADORA2B"	0	0
"ADORA3"	1	0
"ADRA1D"	0	0
"ADRA2A"	0	0
"ADRB1"	0	1
"ADRB2"	0	1
"AEBP2"	0	0
"AFAP1L2"	0	0
"AFDN"	0	0
"AFF1"	0	0
"AGAP1"	0	0
"AGAP2"	1	1
"AGER"	0	1
"AGFG2"	0	0
"AGK"	0	0
"AGO2"	0	0
"AGPAT1"	0	0
"AGRN"	0	0
"AGT"	0	0
"AGTR1"	0	0
"AHCTF1"	0	0
"AHR"	0	0
"AIFM1"	0	0
"AIFM2"	0	0
"AIMP1"	0	0
"AIRE"	0	0
"AKAP12"	0	0
"AKAP13"	0	2
"AKAP17A"	0	0
"AKAP3"	0	0
"AKAP5"	1	1
"AKAP7"	0	0
"AKAP9"	0	0
"AKIRIN2"	1	0
"AKNA"	3	5
"AKT1"	0	0
"AKT2"	0	1
"AKT3"	0	0
"ALCAM"	0	0
"ALMS1"	0	0
"ALS2"	0	0
"ALX4"	0	0
"AMBP"	0	0
"AMER1"	0	0
"AMFR"	0	0
"AMHR2"	0	1
"ANGPTL6"	1	1
"ANK2"	0	1
"ANK3"	0	0
"ANKDD1A"	0	1
"ANKZF1"	0	0
"ANP32A"	0	0
"ANXA1"	0	0
"ANXA4"	0	0
"ANXA5"	0	0
"ANXA9"	0	0
"APBB1"	0	0
"APBB1IP"	4	4
"APC"	0	0
"APC2"	0	0
"APEX1"	0	0
"APH1A"	0	0
"APH1B"	1	1
"APLNR"	0	1
"APLP2"	0	0
"APOE"	1	0
"APOL3"	5	3
"APP"	0	0
"AR"	0	0
"ARAF"	0	0
"ARAP1"	1	2
"ARAP3"	1	1
"ARFGAP1"	0	0
"ARFGAP2"	0	0
"ARFGEF1"	0	0
"ARFGEF3"	0	0
"ARHGAP11A"	0	0
"ARHGAP12"	0	0
"ARHGAP17"	0	1
"ARHGAP18"	1	1
"ARHGAP20"	0	0
"ARHGAP22"	0	0
"ARHGAP23"	0	0
"ARHGAP24"	0	0
"ARHGAP25"	7	7
"ARHGAP26"	0	1
"ARHGAP29"	0	1
"ARHGAP30"	5	5
"ARHGAP31"	0	3
"ARHGAP32"	0	0
"ARHGAP35"	0	0
"ARHGAP39"	0	0
"ARHGAP4"	1	0
"ARHGAP44"	0	0
"ARHGAP45"	1	3
"ARHGAP5"	0	0
"ARHGAP6"	0	1
"ARHGAP8"	0	0
"ARHGAP9"	4	4
"ARHGDIA"	0	0
"ARHGDIB"	1	0
"ARHGEF10"	0	0
"ARHGEF11"	0	0
"ARHGEF12"	0	0
"ARHGEF15"	1	3
"ARHGEF16"	0	0
"ARHGEF17"	0	1
"ARHGEF18"	0	1
"ARHGEF19"	0	0
"ARHGEF28"	0	0
"ARHGEF3"	1	1
"ARHGEF37"	0	0
"ARHGEF38"	0	0
"ARHGEF39"	0	0
"ARHGEF4"	0	0
"ARHGEF5"	0	0
"ARHGEF6"	3	3
"ARID1A"	0	0
"ARID1B"	0	0
"ARID4A"	0	0
"ARID4B"	0	0
"ARID5A"	3	5
"ARID5B"	0	0
"ARL11"	0	0
"ARL14"	0	0
"ARL3"	0	0
"ARL4C"	0	0
"ARL5B"	0	0
"ARL6"	0	0
"ARL8A"	0	0
"ARL8B"	0	0
"ARNT"	0	0
"ARNTL"	0	1
"ARNTL2"	0	0
"ARRB1"	0	0
"ARRB2"	2	3
"ARRDC2"	0	2
"ASAH2B"	0	0
"ASAP1"	1	0
"ASAP3"	0	0
"ASB10"	0	1
"ASB2"	2	2
"ASB3"	0	0
"ASB4"	0	0
"ASB9"	0	0
"ASCC2"	0	1
"ASCL2"	0	0
"ASF1A"	0	0
"ASF1B"	0	0
"ASGR2"	1	1
