"CTL"	"dysfunction"
"ABCA1"	0	0
"ABCC8"	0	0
"ABCC9"	0	0
"ABCG1"	0	0
"ABI1"	0	2
"ABLIM3"	0	0
"ACAD8"	1	0
"ACAP1"	0	0
"ACAP2"	0	1
"ACAP3"	0	0
"ACIN1"	0	0
"ACKR1"	0	0
"ACOT11"	0	1
"ACTL6A"	0	3
"ACTL6B"	0	0
"ACTR5"	0	0
"ACVR1"	0	0
"ACVR1B"	0	0
"ACVR2B"	1	0
"ACVRL1"	0	0
"ADA"	0	0
"ADAM10"	0	1
"ADAM11"	0	0
"ADAM17"	0	0
"ADAP1"	0	0
"ADAP2"	0	0
"ADCY1"	0	0
"ADCY3"	0	0
"ADCY4"	0	0
"ADCY6"	0	0
"ADCY7"	0	0
"ADCY9"	1	0
"ADCYAP1R1"	0	0
"ADGRA2"	0	0
"ADGRA3"	3	0
"ADGRB1"	0	0
"ADGRB3"	0	0
"ADGRD1"	0	0
"ADGRE3"	0	0
"ADGRE5"	0	0
"ADGRF1"	0	0
"ADGRG1"	0	0
"ADGRG2"	0	0
"ADGRG3"	0	0
"ADGRG5"	0	0
"ADGRL1"	0	0
"ADGRL4"	0	0
"ADGRV1"	0	1
"ADH1A"	0	0
"ADIPOR1"	0	1
"ADIPOR2"	0	0
"ADM"	0	0
"ADM2"	0	0
"ADNP"	2	1
"ADORA2B"	1	1
"ADORA3"	0	0
"ADRA1D"	0	0
"ADRA2A"	0	0
"ADRB1"	0	0
"ADRB2"	0	0
"AEBP2"	0	2
"AFAP1L2"	0	0
"AFDN"	1	0
"AFF1"	0	0
"AGAP1"	1	0
"AGAP2"	0	0
"AGER"	0	0
"AGFG2"	0	0
"AGK"	0	2
"AGO2"	0	0
"AGPAT1"	0	0
"AGRN"	1	1
"AGT"	0	0
"AGTR1"	0	0
"AHCTF1"	2	4
"AHR"	0	0
"AIFM1"	1	1
"AIFM2"	0	0
"AIMP1"	0	4
"AIRE"	0	0
"AKAP12"	0	0
"AKAP13"	0	0
"AKAP17A"	0	0
"AKAP3"	0	0
"AKAP5"	0	0
"AKAP7"	0	0
"AKAP9"	0	0
"AKIRIN2"	0	0
"AKNA"	0	0
"AKT1"	0	0
"AKT2"	0	0
"AKT3"	0	0
"ALCAM"	1	0
"ALMS1"	0	1
"ALS2"	0	0
"ALX4"	0	0
"AMBP"	0	0
"AMER1"	0	0
"AMFR"	0	0
"AMHR2"	0	0
"ANGPTL6"	0	0
"ANK2"	0	0
"ANK3"	1	0
"ANKDD1A"	0	0
"ANKZF1"	0	0
"ANP32A"	0	2
"ANXA1"	0	0
"ANXA4"	0	0
"ANXA5"	0	0
"ANXA9"	0	0
"APBB1"	0	0
"APBB1IP"	0	0
"APC"	0	1
"APC2"	0	0
"APEX1"	0	1
"APH1A"	1	1
"APH1B"	0	0
"APLNR"	0	0
"APLP2"	1	0
"APOE"	0	0
"APOL3"	0	0
"APP"	0	0
"AR"	0	0
"ARAF"	0	0
"ARAP1"	0	0
"ARAP3"	1	0
"ARFGAP1"	0	0
"ARFGAP2"	0	0
"ARFGEF1"	0	2
"ARFGEF3"	2	0
"ARHGAP11A"	0	1
"ARHGAP12"	1	1
"ARHGAP17"	0	0
"ARHGAP18"	0	0
"ARHGAP20"	0	0
"ARHGAP22"	0	0
"ARHGAP23"	0	0
"ARHGAP24"	1	0
"ARHGAP25"	0	0
"ARHGAP26"	0	0
"ARHGAP29"	0	0
"ARHGAP30"	0	0
"ARHGAP31"	0	0
"ARHGAP32"	1	2
"ARHGAP35"	0	0
"ARHGAP39"	0	0
"ARHGAP4"	0	0
"ARHGAP44"	0	0
"ARHGAP45"	0	0
"ARHGAP5"	0	1
"ARHGAP6"	0	0
"ARHGAP8"	0	0
"ARHGAP9"	0	0
"ARHGDIA"	0	0
"ARHGDIB"	0	0
"ARHGEF10"	0	0
"ARHGEF11"	0	0
"ARHGEF12"	1	2
"ARHGEF15"	0	0
"ARHGEF16"	0	1
"ARHGEF17"	1	0
"ARHGEF18"	0	0
"ARHGEF19"	3	1
"ARHGEF28"	0	0
"ARHGEF3"	0	0
"ARHGEF37"	0	0
"ARHGEF38"	0	0
"ARHGEF39"	0	1
"ARHGEF4"	0	0
"ARHGEF5"	0	0
"ARHGEF6"	0	0
"ARID1A"	0	1
"ARID1B"	0	0
"ARID4A"	0	0
"ARID4B"	0	2
"ARID5A"	0	0
"ARID5B"	0	0
"ARL11"	0	0
"ARL14"	0	0
"ARL3"	0	0
"ARL4C"	0	0
"ARL5B"	0	2
"ARL6"	0	1
"ARL8A"	0	0
"ARL8B"	0	1
"ARNT"	0	0
"ARNTL"	0	0
"ARNTL2"	0	0
"ARRB1"	0	0
"ARRB2"	0	0
"ARRDC2"	0	0
"ASAH2B"	1	2
"ASAP1"	0	0
"ASAP3"	1	0
"ASB10"	0	0
"ASB2"	0	0
"ASB3"	1	1
"ASB4"	1	0
"ASB9"	0	0
"ASCC2"	0	0
"ASCL2"	0	0
"ASF1A"	0	4
"ASF1B"	0	1
"ASGR2"	0	0
"ASH1L"	0	0
"ASH2L"	0	1
"ASIC2"	0	0
"ASIP"	0	0
"ASMTL"	0	0
"ASXL1"	0	0
"ATAD2"	0	2
"ATF4"	0	0
"ATF5"	0	0
"ATF6"	0	0
"ATF6B"	0	0
"ATF7"	0	0
"ATF7IP"	0	0
"ATG10"	0	0
"ATG5"	0	4
"ATIC"	0	4
"ATOH1"	0	0
"ATOH7"	0	0
"ATOH8"	0	0
"ATP2A2"	0	1
"ATP2C1"	0	0
"ATP8B1"	1	1
"ATRNL1"	0	0
"ATRX"	0	0
"ATXN1"	0	0
"ATXN3"	0	1
"ATXN7"	0	0
"ATXN7L3"	0	0
"AURKA"	0	2
"AURKB"	0	1
"AVPR1A"	0	0
"AXIN1"	0	0
"AXIN2"	0	0
"AXL"	0	0
"AZI2"	0	1
"B2M"	0	0
"BACH1"	0	1
"BACH2"	0	0
"BAIAP2"	2	0
"BAIAP2L1"	0	2
"BAIAP3"	0	0
"BAK1"	0	0
"BAMBI"	0	0
"BANP"	0	0
"BARD1"	0	0
"BARHL1"	0	0
"BARX2"	0	0
"BASP1"	0	1
"BATF"	0	0
"BATF2"	0	0
"BATF3"	0	0
"BAX"	0	0
"BAZ1B"	0	1
"BAZ2B"	0	0
"BCAM"	0	0
"BCAR3"	0	0
"BCKDK"	0	0
"BCL10"	0	0
"BCL11A"	0	0
"BCL11B"	0	0
"BCL2"	0	0
"BCL2L13"	0	0
"BCL6B"	0	0
"BCL7A"	1	0
"BCL9"	0	0
"BCLAF1"	0	2
"BCOR"	1	1
"BCORL1"	0	0
"BCR"	0	1
"BEX3"	1	0
"BHLHE22"	0	0
"BHLHE40"	0	0
"BHLHE41"	0	0
"BIRC2"	0	1
"BIRC3"	0	0
"BIRC7"	0	0
"BLK"	0	0
"BLM"	0	1
"BLNK"	0	0
"BLOC1S2"	0	0
"BLZF1"	0	2
"BMP2"	0	0
"BMP3"	1	0
"BMP4"	0	0
"BMP6"	0	0
"BMPR1A"	0	3
"BNC1"	0	0
"BNIP3"	1	3
"BPTF"	1	1
"BRCA1"	0	1
"BRCC3"	1	2
"BRD7"	1	1
"BRD8"	0	0
"BRDT"	0	0
"BRIP1"	0	1
"BRMS1L"	0	3
"BRSK1"	0	0
"BRWD1"	0	0
"BST2"	0	0
"BTF3"	0	0
"BTG1"	0	0
"BTG2"	0	0
"BTK"	0	0
