"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"LAG3"	47	3.42	0.000631	0.0975	"GSE14814"
"IL15RA"	32	3.38	0.000727	0.0975	"GSE14814"
"CD8A"	39	3.37	0.000754	0.0975	"GSE14814"
"RUNX3"	46	3.32	0.000911	0.0975	"GSE14814"
"DUSP2"	32	3.28	0.00105	0.0975	"GSE14814"
"CD3E"	31	3.27	0.00108	0.0975	"GSE14814"
"SIRPG"	27	3.26	0.00112	0.0975	"GSE14814"
"GZMB"	30	3.25	0.00116	0.0975	"GSE14814"
"RAC2"	44	3.24	0.00118	0.0975	"GSE14814"
"LAT"	39	3.24	0.0012	0.0975	"GSE14814"
"CXCR6"	35	3.23	0.00123	0.0975	"GSE14814"
"LCK"	46	3.23	0.00125	0.0975	"GSE14814"
"CD3D"	44	3.22	0.00127	0.0975	"GSE14814"
"P2RX7"	78	3.22	0.00128	0.0975	"GSE14814"
"CCL5"	41	3.2	0.00136	0.0975	"GSE14814"
"IL21R"	76	3.2	0.00137	0.0975	"GSE14814"
"CSF1"	33	3.2	0.00138	0.0975	"GSE14814"
"RHOH"	28	3.16	0.00156	0.0975	"GSE14814"
"KLRD1"	36	3.15	0.00164	0.0975	"GSE14814"
"LILRB2"	51	3.14	0.00168	0.0975	"GSE14814"
"IL2RB"	33	3.14	0.0017	0.0975	"GSE14814"
"PSTPIP1"	34	3.13	0.00172	0.0975	"GSE14814"
"CCR7"	41	3.13	0.00175	0.0975	"GSE14814"
"SH2D2A"	36	3.12	0.00182	0.0975	"GSE14814"
"CD72"	30	3.11	0.00184	0.0975	"GSE14814"
"FLT3LG"	32	3.11	0.00187	0.0975	"GSE14814"
"CD2"	67	3.11	0.0019	0.0975	"GSE14814"
"SEPT6"	25	3.1	0.00191	0.0975	"GSE14814"
"ARHGAP25"	34	3.1	0.00193	0.0975	"GSE14814"
"TNFRSF4"	38	3.1	0.00194	0.0975	"GSE14814"
"CD48"	77	3.09	0.00197	0.0975	"GSE14814"
"GPSM3"	66	3.09	0.00198	0.0975	"GSE14814"
"CD247"	28	3.07	0.00211	0.0975	"GSE14814"
"CD209"	56	3.07	0.00211	0.0975	"GSE14814"
"STAT5A"	34	3.07	0.00211	0.0975	"GSE14814"
"GMIP"	36	3.07	0.00214	0.0975	"GSE14814"
"TRAF1"	52	3.07	0.00214	0.0975	"GSE14814"
"VAV1"	66	3.07	0.00215	0.0975	"GSE14814"
"TNFRSF1B"	67	3.06	0.00218	0.0975	"GSE14814"
"ARRB2"	42	3.06	0.00219	0.0975	"GSE14814"
"LTB"	47	3.06	0.0022	0.0975	"GSE14814"
"IL16"	70	3.05	0.0023	0.0975	"GSE14814"
"PTPN6"	33	3.04	0.00233	0.0975	"GSE14814"
"SKAP1"	32	3.04	0.00234	0.0975	"GSE14814"
"IL2RG"	52	3.04	0.00234	0.0975	"GSE14814"
"BCL11B"	30	3.04	0.00236	0.0975	"GSE14814"
"PRKCB"	54	3.03	0.00243	0.0975	"GSE14814"
"LCP2"	50	3.03	0.00244	0.0975	"GSE14814"
"PPP1R16B"	41	3.03	0.00245	0.0975	"GSE14814"
"IL10RA"	54	3.03	0.00246	0.0975	"GSE14814"
"LGALS9"	40	3.02	0.00251	0.0975	"GSE14814"
"TBX21"	34	3.02	0.00252	0.0975	"GSE14814"
"STK10"	61	3.02	0.00253	0.0975	"GSE14814"
"TBC1D1"	44	3.02	0.00254	0.0975	"GSE14814"
"GPR65"	45	3.02	0.00256	0.0975	"GSE14814"
"INPP5D"	48	3.02	0.00257	0.0975	"GSE14814"
"SP110"	62	3.02	0.00257	0.0975	"GSE14814"
"IRF8"	57	3.01	0.00259	0.0975	"GSE14814"
"RAB32"	46	3.01	0.0026	0.0975	"GSE14814"
"CMKLR1"	36	3.01	0.00262	0.0975	"GSE14814"
"ADORA3"	28	3.01	0.00266	0.0975	"GSE14814"
"CD4"	79	3	0.00267	0.0975	"GSE14814"
"MAP4K1"	43	3	0.00268	0.0975	"GSE14814"
"HLA-DOB"	51	3	0.00273	0.0975	"GSE14814"
"CYTH4"	40	2.99	0.00277	0.0975	"GSE14814"
"CCR5"	56	2.99	0.00278	0.0975	"GSE14814"
"PLEK"	37	2.99	0.00283	0.0975	"GSE14814"
"SPOCK2"	49	2.98	0.00286	0.0975	"GSE14814"
"CD27"	70	2.97	0.00294	0.0975	"GSE14814"
"SLA"	42	2.97	0.00295	0.0975	"GSE14814"
"PLCG2"	26	2.97	0.003	0.0975	"GSE14814"
"SLAMF1"	39	2.97	0.003	0.0975	"GSE14814"
"LILRB5"	53	2.96	0.00304	0.0975	"GSE14814"
"CD28"	30	2.96	0.00307	0.0975	"GSE14814"
"LPXN"	65	2.96	0.00307	0.0975	"GSE14814"
"IKZF1"	69	2.96	0.00308	0.0975	"GSE14814"
"IRF1"	35	2.95	0.00313	0.0975	"GSE14814"
"LILRB3"	60	2.95	0.00315	0.0975	"GSE14814"
"CSF1R"	48	2.95	0.00322	0.0975	"GSE14814"
"CD53"	90	2.94	0.00329	0.0975	"GSE14814"
"DNASE1L3"	28	2.94	0.00329	0.0975	"GSE14814"
"CD86"	44	2.93	0.00335	0.0975	"GSE14814"
"DOK2"	64	2.93	0.00339	0.0975	"GSE14814"
"FYB1"	33	2.93	0.00339	0.0975	"GSE14814"
"SIT1"	61	2.93	0.00343	0.0975	"GSE14814"
"ITK"	45	2.93	0.00343	0.0975	"GSE14814"
"RASSF2"	62	2.93	0.00343	0.0975	"GSE14814"
"FCGR2B"	35	2.92	0.0035	0.0975	"GSE14814"
"FNBP1"	40	2.92	0.00351	0.0975	"GSE14814"
"PIK3CD"	40	2.92	0.00352	0.0975	"GSE14814"
"ITGAL"	45	2.92	0.00353	0.0975	"GSE14814"
"SP140"	39	2.91	0.00361	0.0975	"GSE14814"
"HLX"	79	2.91	0.00363	0.0975	"GSE14814"
"SH2B3"	85	2.91	0.00365	0.0975	"GSE14814"
"LCP1"	38	2.91	0.00366	0.0975	"GSE14814"
"TLR8"	30	2.91	0.00367	0.0975	"GSE14814"
"CD14"	55	2.9	0.00368	0.0975	"GSE14814"
"LAT2"	30	2.9	0.0037	0.0975	"GSE14814"
"EVL"	49	2.89	0.0038	0.0975	"GSE14814"
"CD19"	42	2.89	0.00381	0.0975	"GSE14814"
"PTGER4"	51	2.89	0.00381	0.0975	"GSE14814"
"UBASH3A"	41	2.89	0.00382	0.0975	"GSE14814"
"RAMP3"	61	2.89	0.00382	0.0975	"GSE14814"
"PILRA"	76	2.89	0.00387	0.0975	"GSE14814"
"ELMO1"	62	2.89	0.00387	0.0975	"GSE14814"
"HCLS1"	26	2.89	0.00389	0.0975	"GSE14814"
"RHOF"	55	2.88	0.00394	0.0975	"GSE14814"
"SOX17"	60	2.88	0.00398	0.0975	"GSE14814"
"TNFRSF14"	61	2.88	0.00398	0.0975	"GSE14814"
"CD40"	41	2.88	0.004	0.0975	"GSE14814"
"BTK"	54	2.88	0.00402	0.0975	"GSE14814"
"NFKB1"	25	2.87	0.00406	0.0975	"GSE14814"
"CSF2RB"	43	2.87	0.00407	0.0975	"GSE14814"
"ARHGDIB"	83	2.87	0.00409	0.0975	"GSE14814"
"BST2"	46	2.87	0.0041	0.0975	"GSE14814"
"USP20"	41	2.86	0.00418	0.0975	"GSE14814"
"CCND2"	43	2.86	0.00424	0.0975	"GSE14814"
"LSP1"	45	2.86	0.00428	0.0975	"GSE14814"
"RIN3"	88	2.85	0.00439	0.0975	"GSE14814"
"PRKCH"	37	2.85	0.00443	0.0975	"GSE14814"
"MAP3K14"	56	2.85	0.00443	0.0975	"GSE14814"
"PKNOX2"	40	2.85	0.00443	0.0975	"GSE14814"
"ITGB2"	66	2.84	0.00449	0.0975	"GSE14814"
"C3AR1"	42	2.84	0.00452	0.0975	"GSE14814"
"NLRP3"	42	2.84	0.00452	0.0975	"GSE14814"
"PRKCQ"	46	2.84	0.00453	0.0975	"GSE14814"
"LILRB4"	28	2.84	0.00458	0.0978	"GSE14814"
"CD33"	66	2.83	0.00464	0.0979	"GSE14814"
"CD74"	78	2.83	0.00464	0.0979	"GSE14814"
"CCL18"	29	2.82	0.00474	0.0984	"GSE14814"
"CCRL2"	34	2.82	0.0048	0.0984	"GSE14814"
"IGSF6"	33	2.82	0.0048	0.0984	"GSE14814"
"USF2"	40	2.82	0.00483	0.0984	"GSE14814"
"CD8B"	29	2.81	0.00492	0.0984	"GSE14814"
"MYO9B"	33	2.81	0.00494	0.0984	"GSE14814"
"CCR1"	34	2.81	0.00501	0.0984	"GSE14814"
"PDE2A"	60	2.81	0.00501	0.0984	"GSE14814"
"CCR2"	56	2.8	0.00513	0.1	"GSE14814"
"GATA3"	38	2.79	0.00528	0.102	"GSE14814"
"ARAP3"	35	2.79	0.00531	0.102	"GSE14814"
"SETD1B"	46	2.78	0.00545	0.104	"GSE14814"
"FCER1G"	49	2.77	0.00552	0.104	"GSE14814"
"CD300C"	35	2.77	0.00561	0.105	"GSE14814"
"MS4A6A"	41	2.77	0.00566	0.105	"GSE14814"
"C5AR1"	54	2.77	0.00567	0.105	"GSE14814"
"GPR183"	37	2.76	0.00573	0.105	"GSE14814"
"FPR1"	54	2.76	0.00582	0.105	"GSE14814"
"NR1H3"	27	2.76	0.00586	0.105	"GSE14814"
"ITGAM"	43	2.75	0.0059	0.105	"GSE14814"
"RRAS"	82	2.75	0.00594	0.105	"GSE14814"
"STAT4"	47	2.75	0.00595	0.105	"GSE14814"
"ITGB7"	44	2.75	0.006	0.105	"GSE14814"
"LMO2"	61	2.75	0.00601	0.105	"GSE14814"
"STARD8"	50	2.74	0.00607	0.105	"GSE14814"
"APH1B"	40	2.74	0.00613	0.105	"GSE14814"
"MYD88"	49	2.74	0.00614	0.105	"GSE14814"
"GSN"	37	2.74	0.00619	0.105	"GSE14814"
"FLI1"	51	2.73	0.00628	0.105	"GSE14814"
"TYROBP"	96	2.73	0.0063	0.105	"GSE14814"
"CD79A"	56	2.73	0.00634	0.106	"GSE14814"
"CD79B"	44	2.72	0.00656	0.108	"GSE14814"
"MS4A4A"	69	2.72	0.00659	0.108	"GSE14814"
"GNAI2"	66	2.71	0.00668	0.108	"GSE14814"
"ARHGEF15"	70	2.71	0.00675	0.108	"GSE14814"
"SPIB"	36	2.71	0.00677	0.108	"GSE14814"
"RHOG"	92	2.7	0.00691	0.109	"GSE14814"
"FCGR2C"	41	2.7	0.00695	0.109	"GSE14814"
"LITAF"	26	2.7	0.00695	0.109	"GSE14814"
"IRF9"	56	2.7	0.00698	0.109	"GSE14814"
"TFEB"	39	2.69	0.00709	0.109	"GSE14814"
"PTPRC"	54	2.69	0.00714	0.109	"GSE14814"
"ARHGEF6"	42	2.68	0.00733	0.111	"GSE14814"
"PTPN22"	28	2.68	0.0074	0.112	"GSE14814"
"P2RX5"	31	2.67	0.00754	0.113	"GSE14814"
"PLCL2"	55	2.67	0.00766	0.114	"GSE14814"
"PECAM1"	114	2.67	0.00769	0.114	"GSE14814"
"ACKR1"	90	2.66	0.00786	0.116	"GSE14814"
"RAMP2"	71	2.65	0.00796	0.117	"GSE14814"
"PRDM1"	67	2.65	0.00807	0.117	"GSE14814"
"TNFRSF17"	44	2.65	0.00809	0.117	"GSE14814"
"LAX1"	33	2.65	0.00814	0.117	"GSE14814"
"MARCO"	49	2.64	0.00818	0.117	"GSE14814"
"PAX5"	29	2.64	0.00821	0.117	"GSE14814"
"ABLIM3"	31	2.64	0.00827	0.117	"GSE14814"
"CHST11"	52	2.64	0.00832	0.117	"GSE14814"
"ZAP70"	62	2.63	0.00853	0.118	"GSE14814"
"MAFB"	64	2.63	0.00858	0.118	"GSE14814"
"CD83"	59	2.63	0.00863	0.118	"GSE14814"
"ADGRE5"	87	2.62	0.00868	0.118	"GSE14814"
"CLEC1A"	58	2.62	0.0087	0.118	"GSE14814"
"KLRB1"	28	2.62	0.00877	0.118	"GSE14814"
"HPGDS"	67	2.62	0.00884	0.119	"GSE14814"
"TRIB2"	45	2.61	0.00901	0.12	"GSE14814"
"TLR1"	26	2.61	0.00912	0.121	"GSE14814"
"PML"	37	2.6	0.0092	0.121	"GSE14814"
"POU2AF1"	44	2.6	0.00929	0.121	"GSE14814"
"BLK"	29	2.6	0.0094	0.121	"GSE14814"
"PLCB2"	75	2.6	0.0094	0.121	"GSE14814"
"IL1B"	28	2.59	0.00954	0.122	"GSE14814"
"TFEC"	40	2.59	0.00957	0.122	"GSE14814"
"HIVEP3"	33	2.59	0.00971	0.123	"GSE14814"
"TRAFD1"	43	2.58	0.00977	0.123	"GSE14814"
"BLNK"	32	2.58	0.00985	0.123	"GSE14814"
"RGS10"	25	2.58	0.00987	0.123	"GSE14814"
"FPR3"	53	2.58	0.0099	0.123	"GSE14814"
"FYN"	42	2.58	0.00994	0.123	"GSE14814"
"NFATC1"	40	2.57	0.0101	0.124	"GSE14814"
"ITGAX"	58	2.57	0.0102	0.125	"GSE14814"
"CD22"	44	2.56	0.0104	0.127	"GSE14814"
"PTPRN2"	46	2.55	0.0106	0.129	"GSE14814"
"MS4A1"	49	2.54	0.011	0.133	"GSE14814"
"TLR2"	50	2.54	0.011	0.133	"GSE14814"
"TCL1A"	37	2.54	0.0112	0.134	"GSE14814"
"IRF4"	37	2.54	0.0112	0.134	"GSE14814"
"EPHB6"	25	2.53	0.0113	0.135	"GSE14814"
"STAT1"	55	2.53	0.0115	0.136	"GSE14814"
"GFI1"	29	2.51	0.0121	0.142	"GSE14814"
"IL2RA"	33	2.5	0.0123	0.142	"GSE14814"
"CASP1"	44	2.5	0.0124	0.142	"GSE14814"
"PYCARD"	53	2.5	0.0125	0.142	"GSE14814"
"TLR7"	30	2.5	0.0125	0.142	"GSE14814"
"PIK3CG"	48	2.49	0.0128	0.145	"GSE14814"
"ABCG1"	57	2.48	0.0133	0.15	"GSE14814"
"RAB8A"	78	2.47	0.0134	0.151	"GSE14814"
"PRKD2"	58	2.47	0.0135	0.151	"GSE14814"
"PDE4B"	38	2.46	0.0137	0.152	"GSE14814"
"ARHGAP17"	33	2.45	0.0141	0.156	"GSE14814"
"GPX1"	46	2.43	0.0152	0.165	"GSE14814"
"RAB33A"	53	2.42	0.0155	0.167	"GSE14814"
"ENG"	109	2.41	0.016	0.17	"GSE14814"
"FOXF1"	62	2.41	0.016	0.17	"GSE14814"
"MPP1"	27	2.39	0.0167	0.175	"GSE14814"
"GRN"	80	2.38	0.0171	0.178	"GSE14814"
"MAST1"	51	2.37	0.0179	0.183	"GSE14814"
"PNOC"	38	2.37	0.0179	0.183	"GSE14814"
"APOE"	26	2.37	0.018	0.183	"GSE14814"
"CXCR4"	45	2.36	0.0181	0.184	"GSE14814"
"CYTL1"	27	2.36	0.0182	0.184	"GSE14814"
"ARHGAP45"	42	2.36	0.0185	0.186	"GSE14814"
"RAB8B"	28	2.35	0.0186	0.186	"GSE14814"
"CD69"	57	2.35	0.0187	0.186	"GSE14814"
"RASIP1"	50	2.35	0.0189	0.187	"GSE14814"
"ADAP2"	26	2.34	0.0192	0.19	"GSE14814"
"IFI27"	41	2.34	0.0193	0.19	"GSE14814"
"IL18R1"	46	2.33	0.0196	0.192	"GSE14814"
"CLEC4A"	38	2.33	0.02	0.195	"GSE14814"
"IQSEC1"	81	2.29	0.0222	0.209	"GSE14814"
"SERTAD2"	32	2.29	0.0222	0.209	"GSE14814"
"PNRC1"	46	2.29	0.0223	0.21	"GSE14814"
