"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"TIPIN"	41	3.52	0.000436	0.0547	"GSE14814"
"LRP12"	27	3.5	0.000459	0.0547	"GSE14814"
"CDKN2A"	66	3.48	0.000497	0.0547	"GSE14814"
"MCM4"	102	3.45	0.000564	0.0547	"GSE14814"
"CKS2"	98	3.44	0.00059	0.0547	"GSE14814"
"PCNA"	71	3.39	0.000701	0.0547	"GSE14814"
"RFC4"	133	3.38	0.000721	0.0547	"GSE14814"
"FEN1"	98	3.37	0.000742	0.0547	"GSE14814"
"PMAIP1"	41	3.37	0.000757	0.0547	"GSE14814"
"CENPU"	75	3.37	0.000764	0.0547	"GSE14814"
"TYMS"	66	3.34	0.000824	0.0547	"GSE14814"
"CENPF"	106	3.34	0.000841	0.0547	"GSE14814"
"TTK"	75	3.34	0.000847	0.0547	"GSE14814"
"BUB1B"	89	3.33	0.000868	0.0547	"GSE14814"
"CKS1B"	127	3.32	0.000895	0.0547	"GSE14814"
"TRIP13"	91	3.3	0.000952	0.0547	"GSE14814"
"AURKA"	94	3.29	0.000991	0.0547	"GSE14814"
"RANBP1"	113	3.29	0.001	0.0547	"GSE14814"
"EZH2"	44	3.29	0.001	0.0547	"GSE14814"
"CHEK1"	61	3.29	0.00102	0.0547	"GSE14814"
"PRMT1"	98	3.27	0.00109	0.0547	"GSE14814"
"CCNA2"	81	3.26	0.00112	0.0547	"GSE14814"
"HNRNPAB"	40	3.23	0.00123	0.0547	"GSE14814"
"AURKB"	97	3.22	0.00127	0.0547	"GSE14814"
"STMN1"	32	3.21	0.00131	0.0547	"GSE14814"
"RACGAP1"	121	3.21	0.00134	0.0547	"GSE14814"
"ADIPOR2"	53	3.2	0.00137	0.0547	"GSE14814"
"GMNN"	84	3.19	0.00141	0.0547	"GSE14814"
"UBE2C"	84	3.18	0.00145	0.0547	"GSE14814"
"MCM6"	96	3.18	0.00145	0.0547	"GSE14814"
"GMPS"	62	3.18	0.00147	0.0547	"GSE14814"
"FZD10"	44	3.17	0.00154	0.0547	"GSE14814"
"MCM3"	62	3.15	0.00163	0.0547	"GSE14814"
"TOP2A"	118	3.15	0.00164	0.0547	"GSE14814"
"SSRP1"	65	3.14	0.00168	0.0547	"GSE14814"
"DDX10"	73	3.13	0.00175	0.0547	"GSE14814"
"BUD31"	73	3.13	0.00177	0.0547	"GSE14814"
"MKI67"	45	3.12	0.00179	0.0547	"GSE14814"
"TTF2"	96	3.12	0.00181	0.0547	"GSE14814"
"ACTL6A"	124	3.12	0.00184	0.0547	"GSE14814"
"TFG"	55	3.11	0.00187	0.0547	"GSE14814"
"ZWINT"	104	3.1	0.00192	0.0547	"GSE14814"
"DNMT3B"	53	3.1	0.00192	0.0547	"GSE14814"
"PARD3"	35	3.1	0.00192	0.0547	"GSE14814"
"FOXM1"	110	3.1	0.00193	0.0547	"GSE14814"
"CEBPG"	85	3.1	0.00193	0.0547	"GSE14814"
"TIMELESS"	66	3.1	0.00195	0.0547	"GSE14814"
"RALA"	49	3.09	0.00197	0.0547	"GSE14814"
"GTSE1"	114	3.09	0.00199	0.0547	"GSE14814"
"SPAG5"	54	3.09	0.002	0.0547	"GSE14814"
"ATP2A2"	43	3.09	0.00201	0.0547	"GSE14814"
"TAF5"	61	3.09	0.00201	0.0547	"GSE14814"
"ECT2"	139	3.08	0.00209	0.0547	"GSE14814"
"NDC80"	85	3.08	0.00209	0.0547	"GSE14814"
"PRKDC"	73	3.07	0.00212	0.0547	"GSE14814"
"TXN"	130	3.07	0.00212	0.0547	"GSE14814"
"LRP8"	36	3.07	0.00213	0.0547	"GSE14814"
"GLRX2"	35	3.07	0.00215	0.0547	"GSE14814"
"PSMC3IP"	37	3.07	0.00215	0.0547	"GSE14814"
"SAP30"	37	3.07	0.00215	0.0547	"GSE14814"
"BRCA1"	57	3.06	0.00218	0.0547	"GSE14814"
"TBPL1"	90	3.06	0.00219	0.0547	"GSE14814"
"PTTG1"	96	3.06	0.00221	0.0547	"GSE14814"
"ELOC"	101	3.05	0.00227	0.0547	"GSE14814"
"MCM7"	111	3.04	0.00238	0.0547	"GSE14814"
"JAG2"	44	3.03	0.00241	0.0547	"GSE14814"
"HMGA1"	88	3.03	0.00243	0.0547	"GSE14814"
"U2AF1"	77	3.02	0.0025	0.0547	"GSE14814"
"DEPDC1"	50	3.02	0.00251	0.0547	"GSE14814"
"CHEK2"	94	3.02	0.00254	0.0547	"GSE14814"
"ARF6"	32	3.01	0.0026	0.0547	"GSE14814"
"GTF2E2"	58	2.99	0.0028	0.0547	"GSE14814"
"TFRC"	81	2.99	0.00281	0.0547	"GSE14814"
"TBP"	29	2.99	0.00281	0.0547	"GSE14814"
"PHF10"	28	2.98	0.00287	0.0547	"GSE14814"
"CSNK2A1"	80	2.97	0.00294	0.0547	"GSE14814"
"MCM2"	135	2.96	0.0031	0.0547	"GSE14814"
"EIF4EBP1"	130	2.96	0.00311	0.0547	"GSE14814"
"HELLS"	55	2.95	0.00313	0.0547	"GSE14814"
"NKRF"	52	2.95	0.00313	0.0547	"GSE14814"
"H2AFX"	88	2.95	0.00316	0.0547	"GSE14814"
"CERS6"	56	2.95	0.00316	0.0547	"GSE14814"
"DNM1L"	77	2.95	0.0032	0.0547	"GSE14814"
"JARID2"	35	2.95	0.0032	0.0547	"GSE14814"
"ATAD2"	60	2.94	0.00331	0.0547	"GSE14814"
"ZNF706"	84	2.94	0.00332	0.0547	"GSE14814"
"HMGB2"	82	2.94	0.00334	0.0547	"GSE14814"
"UBE2L3"	62	2.93	0.00336	0.0547	"GSE14814"
"CYCS"	145	2.93	0.00341	0.0547	"GSE14814"
"WDR12"	109	2.93	0.00343	0.0547	"GSE14814"
"NSD2"	58	2.93	0.00344	0.0547	"GSE14814"
"CNOT7"	34	2.92	0.00346	0.0547	"GSE14814"
"TFDP1"	59	2.91	0.00361	0.0559	"GSE14814"
"TFDP2"	45	2.9	0.00369	0.0566	"GSE14814"
"MYBL2"	101	2.89	0.00381	0.0575	"GSE14814"
"E2F6"	51	2.89	0.00384	0.0575	"GSE14814"
"COPS3"	77	2.88	0.00395	0.0575	"GSE14814"
"SLC7A1"	69	2.88	0.00398	0.0575	"GSE14814"
"HDAC1"	59	2.88	0.00401	0.0575	"GSE14814"
"CCDC59"	110	2.87	0.00405	0.0575	"GSE14814"
"ASF1B"	78	2.87	0.00411	0.0575	"GSE14814"
"ASF1A"	56	2.87	0.00413	0.0575	"GSE14814"
"LTBR"	37	2.86	0.00421	0.0575	"GSE14814"
"ADAM17"	62	2.86	0.00426	0.0575	"GSE14814"
"CDK2"	66	2.86	0.00427	0.0575	"GSE14814"
"MED14"	29	2.85	0.00431	0.0577	"GSE14814"
"SET"	77	2.85	0.00443	0.0585	"GSE14814"
"NELFCD"	77	2.84	0.00453	0.0585	"GSE14814"
"PSRC1"	50	2.83	0.00464	0.0587	"GSE14814"
"PHB2"	96	2.83	0.00464	0.0587	"GSE14814"
"PSMC5"	64	2.83	0.00465	0.0587	"GSE14814"
"TEAD4"	96	2.83	0.00469	0.0587	"GSE14814"
"RUVBL1"	97	2.83	0.00472	0.0588	"GSE14814"
"HSBP1"	69	2.82	0.00474	0.0588	"GSE14814"
"RBBP7"	76	2.82	0.00479	0.059	"GSE14814"
"ORC2"	61	2.82	0.00484	0.059	"GSE14814"
"SDHB"	46	2.82	0.00487	0.059	"GSE14814"
"PTGES3"	104	2.81	0.00488	0.059	"GSE14814"
"HSPE1"	121	2.81	0.00498	0.0591	"GSE14814"
"PAK2"	110	2.8	0.00518	0.06	"GSE14814"
"G3BP1"	61	2.79	0.00521	0.06	"GSE14814"
"MNAT1"	74	2.79	0.00523	0.06	"GSE14814"
"MED28"	51	2.79	0.00523	0.06	"GSE14814"
"MYC"	67	2.79	0.00524	0.06	"GSE14814"
"CASK"	42	2.79	0.00533	0.0602	"GSE14814"
"MYB"	26	2.77	0.0056	0.0616	"GSE14814"
"PTN"	32	2.77	0.00563	0.0617	"GSE14814"
"RANGAP1"	96	2.77	0.00564	0.0617	"GSE14814"
"NTRK2"	109	2.76	0.00575	0.0622	"GSE14814"
"ILF3"	108	2.76	0.0058	0.0623	"GSE14814"
"DNMT1"	58	2.76	0.00586	0.0623	"GSE14814"
"MCM5"	87	2.75	0.00589	0.0623	"GSE14814"
"ADORA2B"	40	2.75	0.00592	0.0623	"GSE14814"
"RAD51"	90	2.75	0.00593	0.0623	"GSE14814"
"DKK1"	33	2.75	0.00595	0.0623	"GSE14814"
"MSH6"	92	2.75	0.00596	0.0623	"GSE14814"
"PLP2"	66	2.75	0.00597	0.0623	"GSE14814"
"SIVA1"	85	2.75	0.00603	0.0623	"GSE14814"
"PARP1"	103	2.75	0.00603	0.0623	"GSE14814"
"SLIRP"	131	2.75	0.00604	0.0623	"GSE14814"
"ASH2L"	29	2.74	0.00609	0.0624	"GSE14814"
"ZSCAN5A"	76	2.74	0.00622	0.0626	"GSE14814"
"BANP"	43	2.73	0.00634	0.0627	"GSE14814"
"YEATS2"	56	2.73	0.0064	0.0627	"GSE14814"
"NIF3L1"	127	2.72	0.00644	0.0627	"GSE14814"
"RBBP8"	49	2.72	0.00656	0.0632	"GSE14814"
"PSMD9"	37	2.72	0.00658	0.0632	"GSE14814"
"MORC4"	32	2.71	0.00675	0.064	"GSE14814"
"PHB"	110	2.71	0.0068	0.0641	"GSE14814"
"AKAP8"	54	2.7	0.00684	0.0641	"GSE14814"
"GTF2A2"	108	2.7	0.0069	0.0641	"GSE14814"
"MCTS1"	73	2.7	0.00697	0.0644	"GSE14814"
"MRPL12"	170	2.69	0.00706	0.0647	"GSE14814"
"TFAP2A"	39	2.69	0.00716	0.0647	"GSE14814"
"GSK3B"	57	2.69	0.00721	0.0647	"GSE14814"
"SIAH2"	172	2.68	0.00726	0.0647	"GSE14814"
"CNOT9"	36	2.68	0.00727	0.0647	"GSE14814"
"CDK4"	126	2.68	0.00742	0.0654	"GSE14814"
"NELFB"	86	2.67	0.0075	0.0656	"GSE14814"
"TPD52L1"	48	2.67	0.00762	0.0656	"GSE14814"
"SUPT16H"	60	2.67	0.00768	0.0656	"GSE14814"
"EGLN1"	64	2.66	0.00778	0.0656	"GSE14814"
"CORO1C"	110	2.66	0.00778	0.0656	"GSE14814"
"TMF1"	33	2.66	0.0078	0.0656	"GSE14814"
"PSMC3"	79	2.66	0.00781	0.0656	"GSE14814"
"XRCC6"	52	2.66	0.00785	0.0657	"GSE14814"
"COPS5"	98	2.66	0.00793	0.0661	"GSE14814"
"MYNN"	56	2.65	0.00805	0.0666	"GSE14814"
"PAK1IP1"	42	2.64	0.0082	0.0671	"GSE14814"
"KMT5A"	82	2.64	0.00825	0.0671	"GSE14814"
"HRAS"	45	2.64	0.0083	0.0671	"GSE14814"
"TGS1"	49	2.64	0.00836	0.0671	"GSE14814"
"C1QBP"	146	2.64	0.00837	0.0671	"GSE14814"
"NUP93"	88	2.64	0.00839	0.0671	"GSE14814"
"TDG"	93	2.63	0.0086	0.0671	"GSE14814"
"TIAL1"	67	2.62	0.00867	0.0671	"GSE14814"
"GGCT"	47	2.62	0.00871	0.0671	"GSE14814"
"SOX2"	102	2.62	0.00875	0.0671	"GSE14814"
"JUP"	74	2.62	0.00877	0.0671	"GSE14814"
"RYK"	79	2.62	0.00887	0.0671	"GSE14814"
"BEX3"	34	2.62	0.00888	0.0671	"GSE14814"
"HSPD1"	130	2.62	0.00888	0.0671	"GSE14814"
"TRIM28"	91	2.62	0.00891	0.0671	"GSE14814"
"FANCG"	55	2.61	0.00894	0.0671	"GSE14814"
"EBP"	51	2.61	0.00898	0.0671	"GSE14814"
"GTF2E1"	36	2.61	0.00898	0.0671	"GSE14814"
"NKIRAS2"	29	2.61	0.00898	0.0671	"GSE14814"
"ARF5"	53	2.61	0.009	0.0671	"GSE14814"
"TFB1M"	25	2.61	0.0091	0.0676	"GSE14814"
"SNAPC5"	86	2.61	0.00911	0.0676	"GSE14814"
"REXO4"	40	2.61	0.00914	0.0676	"GSE14814"
"CHAF1A"	111	2.6	0.00928	0.0677	"GSE14814"
"HDGF"	60	2.6	0.00933	0.0677	"GSE14814"
"CHAF1B"	73	2.6	0.0094	0.0677	"GSE14814"
"CCNE1"	49	2.6	0.00941	0.0677	"GSE14814"
"MIF"	145	2.59	0.00952	0.0681	"GSE14814"
"ADM"	80	2.59	0.00955	0.0681	"GSE14814"
"MAPK6"	87	2.59	0.00964	0.0685	"GSE14814"
"EED"	45	2.58	0.00978	0.0689	"GSE14814"
"TP63"	158	2.58	0.00989	0.0694	"GSE14814"
"FZD7"	57	2.58	0.00995	0.0696	"GSE14814"
"MARK1"	48	2.57	0.0101	0.0701	"GSE14814"
"CHIC2"	46	2.57	0.0102	0.0711	"GSE14814"
"HOXB7"	31	2.57	0.0103	0.0714	"GSE14814"
"FNTA"	65	2.54	0.0112	0.076	"GSE14814"
"PRKCSH"	42	2.53	0.0113	0.0764	"GSE14814"
"RAB6B"	77	2.53	0.0114	0.0769	"GSE14814"
"RUVBL2"	153	2.52	0.0118	0.0787	"GSE14814"
"PRAME"	27	2.5	0.0123	0.0817	"GSE14814"
"MBD2"	100	2.49	0.0127	0.0837	"GSE14814"
"GTF2IRD1"	30	2.49	0.0127	0.0838	"GSE14814"
"ARNTL2"	113	2.49	0.0128	0.0842	"GSE14814"
"PRDX2"	102	2.49	0.0129	0.0842	"GSE14814"
"DIABLO"	69	2.49	0.013	0.0843	"GSE14814"
"PPP2R1A"	44	2.48	0.013	0.0847	"GSE14814"
"MAPKAPK5"	32	2.48	0.0131	0.0852	"GSE14814"
"SOD1"	66	2.47	0.0135	0.0871	"GSE14814"
"ZNF551"	26	2.47	0.0136	0.0876	"GSE14814"
"HBS1L"	51	2.46	0.0137	0.0879	"GSE14814"
"TAF2"	44	2.46	0.0139	0.0883	"GSE14814"
"GCLC"	73	2.46	0.0139	0.0883	"GSE14814"
"BNIP3"	63	2.46	0.014	0.0888	"GSE14814"
"YEATS4"	27	2.46	0.0141	0.0888	"GSE14814"
"MLF1"	26	2.45	0.0141	0.0888	"GSE14814"
"TRIAP1"	83	2.45	0.0142	0.0893	"GSE14814"
"JAG1"	84	2.45	0.0143	0.0895	"GSE14814"
"FZD6"	73	2.44	0.0145	0.0905	"GSE14814"
"PRMT5"	91	2.44	0.0146	0.0908	"GSE14814"
"NUP62"	77	2.44	0.0146	0.091	"GSE14814"
"ADCY3"	55	2.44	0.0147	0.0911	"GSE14814"
"IGFBP2"	43	2.44	0.0148	0.0916	"GSE14814"
"POLD1"	44	2.44	0.0149	0.0916	"GSE14814"
"FANCL"	53	2.43	0.0149	0.0918	"GSE14814"
"PPP4C"	78	2.43	0.0152	0.093	"GSE14814"
"YBX1"	64	2.42	0.0155	0.0946	"GSE14814"
"PRDX1"	75	2.41	0.0158	0.096	"GSE14814"
"LMO4"	36	2.4	0.0164	0.099	"GSE14814"
"IRF6"	83	2.4	0.0165	0.099	"GSE14814"
"GATAD2A"	92	2.4	0.0166	0.099	"GSE14814"
"MKLN1"	31	2.4	0.0166	0.099	"GSE14814"
"MED27"	50	2.38	0.0175	0.103	"GSE14814"
"TGIF2"	49	2.37	0.0176	0.103	"GSE14814"
"PAK1"	42	2.37	0.0178	0.103	"GSE14814"
"PIAS2"	38	2.36	0.018	0.104	"GSE14814"
"LRPPRC"	112	2.35	0.0186	0.107	"GSE14814"
"ACKR3"	56	2.35	0.0186	0.107	"GSE14814"
"CNBP"	131	2.35	0.019	0.109	"GSE14814"
"RXRA"	27	2.34	0.0191	0.109	"GSE14814"
"CAD"	96	2.34	0.0195	0.11	"GSE14814"
"BCL11A"	42	2.33	0.0198	0.111	"GSE14814"
"FGFR2"	58	2.32	0.0204	0.114	"GSE14814"
"ATP2C1"	36	2.31	0.0208	0.116	"GSE14814"
"ZNHIT3"	48	2.31	0.021	0.116	"GSE14814"
"SENP2"	74	2.31	0.021	0.117	"GSE14814"
"CRKL"	74	2.3	0.0212	0.117	"GSE14814"
"STAMBP"	58	2.3	0.0213	0.118	"GSE14814"
"BLM"	64	2.29	0.0222	0.122	"GSE14814"
"ITGAE"	44	2.28	0.0224	0.123	"GSE14814"
"PPRC1"	86	2.28	0.0226	0.123	"GSE14814"
"KEAP1"	122	2.28	0.0226	0.123	"GSE14814"
"BID"	94	2.28	0.0227	0.123	"GSE14814"
"FOSL1"	52	2.28	0.0228	0.123	"GSE14814"
"SLC9A3R1"	63	2.27	0.0229	0.124	"GSE14814"
"DVL3"	63	2.27	0.0232	0.125	"GSE14814"
"GPR87"	70	2.27	0.0234	0.126	"GSE14814"
"HAT1"	81	2.26	0.0237	0.127	"GSE14814"
"ARTN"	89	2.26	0.0237	0.127	"GSE14814"
"KLF5"	56	2.26	0.0238	0.127	"GSE14814"
"WNT5A"	55	2.26	0.0239	0.128	"GSE14814"
"VAPB"	49	2.26	0.024	0.128	"GSE14814"
"CNOT3"	46	2.26	0.024	0.128	"GSE14814"
"ARL3"	28	2.26	0.024	0.128	"GSE14814"
"NFE2L1"	41	2.25	0.0242	0.128	"GSE14814"
"PDAP1"	68	2.25	0.0242	0.128	"GSE14814"
"ATF4"	40	2.25	0.0244	0.128	"GSE14814"
"NONO"	83	2.23	0.0254	0.133	"GSE14814"
"GPSM2"	28	2.23	0.0256	0.133	"GSE14814"
"SNAPC1"	42	2.23	0.0258	0.134	"GSE14814"
"CCT6B"	32	2.22	0.0263	0.136	"GSE14814"
"BRD4"	70	2.21	0.0268	0.138	"GSE14814"
"TFB2M"	93	2.21	0.0271	0.139	"GSE14814"
"KHDRBS1"	78	2.2	0.0275	0.141	"GSE14814"
"GRHL2"	46	2.2	0.0277	0.142	"GSE14814"
"HACD3"	71	2.2	0.028	0.142	"GSE14814"
"RAPGEFL1"	77	2.2	0.028	0.143	"GSE14814"
"PITX1"	83	2.2	0.0281	0.143	"GSE14814"
"IRAK1"	60	2.19	0.0283	0.143	"GSE14814"
"PUF60"	106	2.18	0.029	0.145	"GSE14814"
"EEF1E1"	109	2.18	0.0295	0.147	"GSE14814"
"MXI1"	30	2.17	0.0297	0.147	"GSE14814"
"WDR77"	68	2.17	0.0298	0.147	"GSE14814"
"HOXA1"	31	2.17	0.0298	0.147	"GSE14814"
"RAB3B"	38	2.17	0.0299	0.147	"GSE14814"
"ZNF74"	35	2.17	0.03	0.147	"GSE14814"
"GOLT1B"	31	2.17	0.0301	0.147	"GSE14814"
"NOLC1"	63	2.17	0.0303	0.148	"GSE14814"
"THOP1"	79	2.16	0.0304	0.148	"GSE14814"
"TBC1D31"	31	2.16	0.0304	0.148	"GSE14814"
"SMAP1"	49	2.16	0.0307	0.148	"GSE14814"
"BARD1"	27	2.15	0.0312	0.15	"GSE14814"
"MBD3"	89	2.15	0.0316	0.151	"GSE14814"
"PDCD11"	88	2.14	0.032	0.153	"GSE14814"
"SMARCB1"	38	2.14	0.0325	0.154	"GSE14814"
"FRAT2"	58	2.14	0.0325	0.154	"GSE14814"
"NAB1"	47	2.14	0.0325	0.154	"GSE14814"
"ACAP2"	54	2.13	0.0329	0.156	"GSE14814"
"ERF"	33	2.13	0.0331	0.156	"GSE14814"
"CBLC"	60	2.13	0.0332	0.157	"GSE14814"
