"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"CHN1"	60	3.38	0.000713	0.123	"GSE14814"
"VDR"	68	3.31	0.000939	0.123	"GSE14814"
"AKAP12"	68	3.31	0.000944	0.123	"GSE14814"
"F2R"	36	3.29	0.00099	0.123	"GSE14814"
"TGFB1I1"	130	3.24	0.0012	0.123	"GSE14814"
"ARL4C"	48	3.23	0.00125	0.123	"GSE14814"
"MAF"	80	3.22	0.00126	0.123	"GSE14814"
"PDGFRA"	145	3.21	0.00132	0.123	"GSE14814"
"PLK2"	39	3.21	0.00133	0.123	"GSE14814"
"ITGB5"	51	3.21	0.00135	0.123	"GSE14814"
"EDNRA"	59	3.2	0.00138	0.123	"GSE14814"
"APBB2"	74	3.2	0.0014	0.123	"GSE14814"
"CAVIN1"	95	3.19	0.00143	0.123	"GSE14814"
"FSTL1"	138	3.19	0.00144	0.123	"GSE14814"
"BHLHE40"	38	3.18	0.00148	0.123	"GSE14814"
"RAB31"	67	3.16	0.00156	0.123	"GSE14814"
"LOXL2"	77	3.16	0.0016	0.123	"GSE14814"
"THBS1"	104	3.15	0.00162	0.123	"GSE14814"
"FGFR1"	45	3.15	0.00164	0.123	"GSE14814"
"CEBPB"	35	3.14	0.00166	0.123	"GSE14814"
"GAS1"	106	3.14	0.00168	0.123	"GSE14814"
"CD44"	70	3.14	0.00172	0.123	"GSE14814"
"RGS4"	52	3.13	0.00176	0.123	"GSE14814"
"PRRX1"	68	3.12	0.00181	0.123	"GSE14814"
"IL1R1"	65	3.12	0.00182	0.123	"GSE14814"
"PTPRG"	36	3.11	0.00187	0.123	"GSE14814"
"KLF7"	43	3.1	0.00196	0.123	"GSE14814"
"FHL2"	55	3.09	0.00197	0.123	"GSE14814"
"DACT1"	95	3.09	0.00199	0.123	"GSE14814"
"CTGF"	70	3.09	0.00201	0.123	"GSE14814"
"MN1"	79	3.09	0.00203	0.123	"GSE14814"
"TNFAIP3"	74	3.08	0.00207	0.123	"GSE14814"
"THY1"	111	3.08	0.00209	0.123	"GSE14814"
"AXL"	110	3.08	0.0021	0.123	"GSE14814"
