"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"FZD10"	44	3.41	0.000643	0.0545	"GSE14814"
"EIF4EBP1"	130	3.41	0.000659	0.0545	"GSE14814"
"DKK1"	33	3.38	0.000712	0.0545	"GSE14814"
"PLP2"	66	3.37	0.000748	0.0545	"GSE14814"
"PRMT1"	98	3.32	0.000884	0.0545	"GSE14814"
"CDKN2A"	66	3.31	0.00092	0.0545	"GSE14814"
"KMT5A"	82	3.31	0.000931	0.0545	"GSE14814"
"TEAD4"	96	3.31	0.000937	0.0545	"GSE14814"
"RAD51"	90	3.3	0.000975	0.0545	"GSE14814"
"MYC"	67	3.28	0.00104	0.0545	"GSE14814"
"TFAP2A"	39	3.27	0.00106	0.0545	"GSE14814"
"HRAS"	45	3.27	0.00108	0.0545	"GSE14814"
"ARHGEF4"	38	3.25	0.00114	0.0545	"GSE14814"
"TPD52L1"	48	3.24	0.0012	0.0545	"GSE14814"
"IRF6"	83	3.23	0.00123	0.0545	"GSE14814"
"FOXD1"	51	3.22	0.00127	0.0545	"GSE14814"
"RANBP1"	113	3.2	0.00135	0.0545	"GSE14814"
"ADIPOR2"	53	3.2	0.00136	0.0545	"GSE14814"
"NDRG1"	46	3.17	0.0015	0.0545	"GSE14814"
"AURKB"	97	3.17	0.00152	0.0545	"GSE14814"
"FOSL1"	52	3.17	0.00152	0.0545	"GSE14814"
"ARTN"	89	3.16	0.00157	0.0545	"GSE14814"
"CHEK1"	61	3.15	0.00161	0.0545	"GSE14814"
"ADM"	80	3.15	0.00162	0.0545	"GSE14814"
"JUP"	74	3.15	0.00164	0.0545	"GSE14814"
"MCM7"	111	3.14	0.00168	0.0545	"GSE14814"
"ACKR3"	56	3.14	0.00169	0.0545	"GSE14814"
"TPRA1"	53	3.14	0.00169	0.0545	"GSE14814"
"SPHK1"	87	3.13	0.00172	0.0545	"GSE14814"
"LTBR"	37	3.13	0.00175	0.0545	"GSE14814"
"SIAH2"	172	3.13	0.00177	0.0545	"GSE14814"
"FOXM1"	110	3.13	0.00178	0.0545	"GSE14814"
"CHEK2"	94	3.12	0.00178	0.0545	"GSE14814"
"TP63"	158	3.12	0.00179	0.0545	"GSE14814"
"CELSR2"	66	3.12	0.00181	0.0545	"GSE14814"
"TRPV4"	71	3.11	0.00184	0.0545	"GSE14814"
"TRIP13"	91	3.11	0.00187	0.0545	"GSE14814"
"UBE2C"	84	3.11	0.00188	0.0545	"GSE14814"
"GTSE1"	114	3.11	0.00189	0.0545	"GSE14814"
"SFN"	108	3.1	0.00191	0.0545	"GSE14814"
"PITX1"	83	3.1	0.00194	0.0545	"GSE14814"
"EXT1"	49	3.1	0.00194	0.0545	"GSE14814"
"HMGA1"	88	3.1	0.00195	0.0545	"GSE14814"
"MARK1"	48	3.1	0.00196	0.0545	"GSE14814"
"JAG1"	84	3.09	0.00197	0.0545	"GSE14814"
"CSNK2A1"	80	3.09	0.00199	0.0545	"GSE14814"
"RANGAP1"	96	3.09	0.00201	0.0545	"GSE14814"
"CEBPG"	85	3.08	0.00206	0.0545	"GSE14814"
"HSPB1"	71	3.08	0.00206	0.0545	"GSE14814"
"GPR87"	70	3.08	0.0021	0.0545	"GSE14814"
"CDK2"	66	3.07	0.00211	0.0545	"GSE14814"
"ARNTL2"	113	3.07	0.00216	0.0545	"GSE14814"
"ASF1B"	78	3.07	0.00217	0.0545	"GSE14814"
"PTHLH"	60	3.06	0.00218	0.0545	"GSE14814"
"ZSCAN5A"	76	3.06	0.0022	0.0545	"GSE14814"
"MCM2"	135	3.06	0.00221	0.0545	"GSE14814"
"FANCE"	62	3.06	0.00221	0.0545	"GSE14814"
"LPAR3"	40	3.05	0.00226	0.0545	"GSE14814"
"HCAR3"	84	3.05	0.00228	0.0545	"GSE14814"
"ADCY3"	55	3.05	0.0023	0.0545	"GSE14814"
"HOXA1"	31	3.04	0.00233	0.0545	"GSE14814"
"MRPL12"	170	3.04	0.00235	0.0545	"GSE14814"
"H2AFX"	88	3.04	0.0024	0.0545	"GSE14814"
"UBE2L3"	62	3.03	0.00243	0.0545	"GSE14814"
"PSRC1"	50	3.03	0.00245	0.0545	"GSE14814"
"ADORA2B"	40	3.03	0.00246	0.0545	"GSE14814"
"FEN1"	98	3.02	0.00249	0.0545	"GSE14814"
"NFE2L1"	41	3.02	0.00251	0.0545	"GSE14814"
"RFC4"	133	3.01	0.00258	0.0545	"GSE14814"
"CKS1B"	127	3.01	0.00258	0.0545	"GSE14814"
"SH3GL1"	76	3.01	0.00258	0.0545	"GSE14814"
"PTTG1"	96	3.01	0.00261	0.0545	"GSE14814"
"WNT5A"	55	3	0.00266	0.0545	"GSE14814"
"CHAF1B"	73	3	0.0027	0.0545	"GSE14814"
"SLC7A1"	69	3	0.0027	0.0545	"GSE14814"
"CCNA2"	81	3	0.0027	0.0545	"GSE14814"
"MIF"	145	3	0.00273	0.0545	"GSE14814"
"DST"	87	2.99	0.00275	0.0545	"GSE14814"
"TFDP2"	45	2.99	0.00279	0.0545	"GSE14814"
"RAB3B"	38	2.99	0.00281	0.0545	"GSE14814"
"MCM4"	102	2.98	0.00284	0.0545	"GSE14814"
"BID"	94	2.97	0.00293	0.0545	"GSE14814"
"BRD4"	70	2.97	0.00296	0.0545	"GSE14814"
"PKP1"	92	2.97	0.00301	0.0545	"GSE14814"
"NTRK2"	109	2.97	0.00302	0.0545	"GSE14814"
"JARID2"	35	2.96	0.00305	0.0545	"GSE14814"
"RAPGEFL1"	77	2.96	0.00308	0.0545	"GSE14814"
"RAB6B"	77	2.96	0.00308	0.0545	"GSE14814"
"THOP1"	79	2.96	0.0031	0.0545	"GSE14814"
"CCNE1"	49	2.96	0.0031	0.0545	"GSE14814"
"MED27"	50	2.96	0.00313	0.0545	"GSE14814"
"SOX2"	102	2.95	0.00318	0.0545	"GSE14814"
"TRIM29"	119	2.95	0.00321	0.0545	"GSE14814"
"PLEKHG6"	41	2.94	0.00324	0.0545	"GSE14814"
"EBP"	51	2.94	0.00327	0.0545	"GSE14814"
"KLF5"	56	2.94	0.00328	0.0545	"GSE14814"
"FOXE1"	92	2.94	0.0033	0.0545	"GSE14814"
"RUVBL2"	153	2.94	0.00331	0.0545	"GSE14814"
"SIVA1"	85	2.94	0.00333	0.0545	"GSE14814"
"PHB2"	96	2.94	0.00333	0.0545	"GSE14814"
"PAK1"	42	2.93	0.00335	0.0545	"GSE14814"
"BUD31"	73	2.93	0.00337	0.0545	"GSE14814"
"TRAF3IP2"	70	2.92	0.00347	0.0545	"GSE14814"
"NELFCD"	77	2.92	0.00349	0.0545	"GSE14814"
"PMAIP1"	41	2.92	0.00349	0.0545	"GSE14814"
"TSPO"	69	2.92	0.00352	0.0545	"GSE14814"
"GMPS"	62	2.91	0.00356	0.0545	"GSE14814"
"PSMC3"	79	2.91	0.00357	0.0545	"GSE14814"
"LRP12"	27	2.91	0.00358	0.0545	"GSE14814"
"YEATS2"	56	2.91	0.00358	0.0545	"GSE14814"
"NKIRAS2"	29	2.91	0.00362	0.0545	"GSE14814"
"RUVBL1"	97	2.9	0.00371	0.0545	"GSE14814"
"CKS2"	98	2.9	0.00374	0.0545	"GSE14814"
"SLC9A3R1"	63	2.9	0.00375	0.0545	"GSE14814"
