"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"IL4R"	72	3.35	0.000797	0.0827	"GSE14814"
"GSN"	37	3.25	0.00116	0.0827	"GSE14814"
"PDGFRB"	108	3.25	0.00117	0.0827	"GSE14814"
"HOXB6"	33	3.25	0.00117	0.0827	"GSE14814"
"LRP1"	94	3.24	0.00118	0.0827	"GSE14814"
"TGFB1I1"	130	3.23	0.00126	0.0827	"GSE14814"
"LGALS1"	111	3.21	0.00133	0.0827	"GSE14814"
"PKIG"	51	3.2	0.00138	0.0827	"GSE14814"
"ZCCHC24"	146	3.19	0.00141	0.0827	"GSE14814"
"LBH"	66	3.19	0.00141	0.0827	"GSE14814"
"UNC5B"	66	3.18	0.00148	0.0827	"GSE14814"
"HOXA5"	38	3.16	0.00156	0.0827	"GSE14814"
"CAVIN1"	95	3.16	0.00159	0.0827	"GSE14814"
"ABL1"	28	3.16	0.00159	0.0827	"GSE14814"
"FOXF2"	49	3.16	0.0016	0.0827	"GSE14814"
"SMAD7"	58	3.15	0.00162	0.0827	"GSE14814"
"LMCD1"	91	3.15	0.00163	0.0827	"GSE14814"
"HLX"	79	3.15	0.00164	0.0827	"GSE14814"
"AXL"	110	3.14	0.00169	0.0827	"GSE14814"
"PMEPA1"	74	3.13	0.00178	0.0827	"GSE14814"
"MYH9"	47	3.12	0.00178	0.0827	"GSE14814"
"RRAS"	82	3.12	0.00183	0.0827	"GSE14814"
"BHLHE40"	38	3.11	0.00188	0.0827	"GSE14814"
"BASP1"	48	3.11	0.00189	0.0827	"GSE14814"
"ZYX"	43	3.1	0.00191	0.0827	"GSE14814"
"ADGRA2"	78	3.1	0.00192	0.0827	"GSE14814"
"ZFPM2"	94	3.1	0.00192	0.0827	"GSE14814"
"AEBP1"	118	3.1	0.00194	0.0827	"GSE14814"
"GNAI2"	66	3.1	0.00194	0.0827	"GSE14814"
"CLEC7A"	35	3.1	0.00196	0.0827	"GSE14814"
"CEBPB"	35	3.09	0.00197	0.0827	"GSE14814"
"THBS1"	104	3.09	0.00202	0.0827	"GSE14814"
"AKAP12"	68	3.08	0.00204	0.0827	"GSE14814"
"PTGIS"	99	3.08	0.00206	0.0827	"GSE14814"
"BHLHE41"	62	3.08	0.00206	0.0827	"GSE14814"
"ITGBL1"	85	3.07	0.00213	0.0827	"GSE14814"
"CCL2"	43	3.07	0.00215	0.0827	"GSE14814"
"CTGF"	70	3.06	0.00221	0.0827	"GSE14814"
"ID3"	29	3.06	0.00222	0.0827	"GSE14814"
"SCG5"	30	3.06	0.00224	0.0827	"GSE14814"
"FPR1"	54	3.05	0.00226	0.0827	"GSE14814"
"PKNOX2"	40	3.05	0.00229	0.0827	"GSE14814"
"ZNF423"	71	3.05	0.0023	0.0827	"GSE14814"
"LITAF"	26	3.04	0.00235	0.0827	"GSE14814"
"APBB2"	74	3.04	0.00235	0.0827	"GSE14814"
"SLIT2"	49	3.04	0.00236	0.0827	"GSE14814"
"ELN"	85	3.04	0.00239	0.0827	"GSE14814"
"CREB3L1"	61	3.03	0.00243	0.0827	"GSE14814"
"NDN"	76	3.03	0.00244	0.0827	"GSE14814"
"RASIP1"	50	3.03	0.00248	0.0827	"GSE14814"
"CHST11"	52	3.02	0.0025	0.0827	"GSE14814"
"FLNA"	73	3.02	0.0025	0.0827	"GSE14814"
"HPGDS"	67	3.02	0.00252	0.0827	"GSE14814"
"TNFAIP3"	74	3.01	0.00258	0.0827	"GSE14814"
"PLPP1"	41	3.01	0.00258	0.0827	"GSE14814"
"HOXB2"	64	3	0.00267	0.0827	"GSE14814"
"FYN"	42	3	0.00269	0.0827	"GSE14814"
"MITF"	62	3	0.00272	0.0827	"GSE14814"
"NFKB1"	25	2.99	0.0028	0.0827	"GSE14814"
"TFEB"	39	2.98	0.00286	0.0827	"GSE14814"
"GAS7"	62	2.98	0.0029	0.0827	"GSE14814"
"THY1"	111	2.98	0.00291	0.0827	"GSE14814"
"DACT1"	95	2.98	0.00292	0.0827	"GSE14814"
"SLC22A17"	31	2.98	0.00292	0.0827	"GSE14814"
"MSN"	71	2.97	0.00293	0.0827	"GSE14814"
"RGS3"	45	2.97	0.00299	0.0827	"GSE14814"
"GAS1"	106	2.96	0.00303	0.0827	"GSE14814"
"FZD1"	46	2.96	0.00303	0.0827	"GSE14814"
"TGM2"	80	2.96	0.00312	0.0827	"GSE14814"
"ROR1"	55	2.95	0.00317	0.0827	"GSE14814"
"FLT3LG"	32	2.95	0.0032	0.0827	"GSE14814"
"COLEC12"	91	2.95	0.00321	0.0827	"GSE14814"
"FGFR1"	45	2.95	0.00321	0.0827	"GSE14814"
"IL7R"	49	2.94	0.00327	0.0827	"GSE14814"
"ITGA5"	88	2.93	0.00336	0.0827	"GSE14814"
"PLK2"	39	2.93	0.00341	0.0827	"GSE14814"
"STK10"	61	2.92	0.00349	0.0827	"GSE14814"
"PDGFRA"	145	2.92	0.00352	0.0827	"GSE14814"
"ZFP36L2"	59	2.92	0.00352	0.0827	"GSE14814"
"ARHGEF10"	28	2.92	0.00354	0.0827	"GSE14814"
"COL1A1"	89	2.91	0.00359	0.0827	"GSE14814"
"ZFP36L1"	42	2.91	0.00363	0.0827	"GSE14814"
"ITGA8"	73	2.91	0.00366	0.0827	"GSE14814"
"PDGFC"	62	2.91	0.00367	0.0827	"GSE14814"
"MAF"	80	2.9	0.00369	0.0827	"GSE14814"
"FHL2"	55	2.9	0.00372	0.0827	"GSE14814"
"NFATC1"	40	2.9	0.00374	0.0827	"GSE14814"
"ECM1"	42	2.9	0.00376	0.0827	"GSE14814"
"INHBA"	96	2.9	0.00379	0.0827	"GSE14814"
"VDR"	68	2.89	0.00384	0.0827	"GSE14814"
"FSTL3"	71	2.89	0.00387	0.0827	"GSE14814"
"ITGB5"	51	2.89	0.00391	0.0827	"GSE14814"
"ID2"	43	2.88	0.00391	0.0827	"GSE14814"
"GATA6"	43	2.88	0.00393	0.0827	"GSE14814"
"TBC1D2B"	69	2.88	0.00394	0.0827	"GSE14814"
"FOXF1"	62	2.88	0.00394	0.0827	"GSE14814"
"KLF10"	35	2.88	0.004	0.0827	"GSE14814"
"LOXL2"	77	2.88	0.00403	0.0827	"GSE14814"
"GATA3"	38	2.87	0.00414	0.0827	"GSE14814"
"TGFB1"	67	2.86	0.00421	0.0827	"GSE14814"
"NR2F2"	42	2.86	0.00422	0.0827	"GSE14814"
"ILK"	90	2.86	0.00427	0.0827	"GSE14814"
"RGS4"	52	2.85	0.00431	0.0827	"GSE14814"
"MYH11"	38	2.85	0.00431	0.0827	"GSE14814"
"CD81"	80	2.85	0.00433	0.0827	"GSE14814"
"IQSEC1"	81	2.85	0.00433	0.0827	"GSE14814"
"FCGR2B"	35	2.85	0.00436	0.0827	"GSE14814"
"SH2B3"	85	2.85	0.0044	0.0827	"GSE14814"
