"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"TRIP13"	91	3.57	0.000353	0.054	"GSE14814"
"CKS2"	98	3.45	0.000562	0.054	"GSE14814"
"CHEK1"	61	3.42	0.000631	0.054	"GSE14814"
"LRP12"	27	3.42	0.000637	0.054	"GSE14814"
"PCNA"	71	3.4	0.000677	0.054	"GSE14814"
"PMAIP1"	41	3.37	0.000747	0.054	"GSE14814"
"MCM4"	102	3.36	0.000788	0.054	"GSE14814"
"RFC4"	133	3.33	0.000859	0.054	"GSE14814"
"CENPU"	75	3.33	0.000859	0.054	"GSE14814"
"CCNA2"	81	3.33	0.000881	0.054	"GSE14814"
"DNMT3B"	53	3.32	0.000885	0.054	"GSE14814"
"BUB1B"	89	3.31	0.000945	0.054	"GSE14814"
"TIPIN"	41	3.26	0.00113	0.054	"GSE14814"
"HELLS"	55	3.25	0.00114	0.054	"GSE14814"
"RANBP1"	113	3.25	0.00115	0.054	"GSE14814"
"RBFOX2"	40	3.24	0.0012	0.054	"GSE14814"
"BRCA1"	57	3.23	0.00122	0.054	"GSE14814"
"TAF5"	61	3.22	0.00127	0.054	"GSE14814"
"PTTG1"	96	3.22	0.00128	0.054	"GSE14814"
"TTK"	75	3.22	0.00128	0.054	"GSE14814"
"CDKN2A"	66	3.22	0.00129	0.054	"GSE14814"
"CKS1B"	127	3.21	0.00131	0.054	"GSE14814"
"MCM3"	62	3.21	0.00133	0.054	"GSE14814"
"AURKA"	94	3.2	0.00135	0.054	"GSE14814"
"TYMS"	66	3.2	0.00139	0.054	"GSE14814"
"GMPS"	62	3.2	0.0014	0.054	"GSE14814"
"NKRF"	52	3.19	0.00143	0.054	"GSE14814"
"CENPF"	106	3.19	0.00143	0.054	"GSE14814"
"UBE2C"	84	3.18	0.00149	0.054	"GSE14814"
"MCM6"	96	3.18	0.0015	0.054	"GSE14814"
"DEPDC1"	50	3.17	0.00155	0.054	"GSE14814"
"PARD3"	35	3.16	0.00155	0.054	"GSE14814"
"SSRP1"	65	3.16	0.00156	0.054	"GSE14814"
"GTSE1"	114	3.16	0.00158	0.054	"GSE14814"
"SET"	77	3.14	0.00167	0.054	"GSE14814"
"TXN"	130	3.14	0.00172	0.054	"GSE14814"
"U2AF1"	77	3.12	0.00178	0.054	"GSE14814"
"SPAG5"	54	3.11	0.00188	0.054	"GSE14814"
"CHEK2"	94	3.11	0.00189	0.054	"GSE14814"
"FEN1"	98	3.11	0.0019	0.054	"GSE14814"
"ZNF706"	84	3.1	0.00191	0.054	"GSE14814"
"GMNN"	84	3.09	0.00201	0.054	"GSE14814"
"TOP2A"	118	3.09	0.00201	0.054	"GSE14814"
"TFDP2"	45	3.06	0.00219	0.054	"GSE14814"
"JAG2"	44	3.06	0.0022	0.054	"GSE14814"
"LRP8"	36	3.06	0.00223	0.054	"GSE14814"
"NDC80"	85	3.05	0.00226	0.054	"GSE14814"
"ATAD2"	60	3.05	0.00232	0.054	"GSE14814"
"FZD10"	44	3.03	0.00241	0.054	"GSE14814"
"AURKB"	97	3.03	0.00241	0.054	"GSE14814"
"RXRA"	27	3.02	0.0025	0.054	"GSE14814"
"EZH2"	44	3.02	0.00255	0.054	"GSE14814"
"WDR12"	109	3.02	0.00256	0.054	"GSE14814"
"PRMT1"	98	3.01	0.00258	0.054	"GSE14814"
"RALA"	49	3	0.00269	0.054	"GSE14814"
"MNAT1"	74	3	0.00273	0.054	"GSE14814"
"ECT2"	139	2.99	0.00283	0.054	"GSE14814"
"RACGAP1"	121	2.98	0.00287	0.054	"GSE14814"
"ELOC"	101	2.98	0.00293	0.054	"GSE14814"
"SLIRP"	131	2.97	0.00298	0.054	"GSE14814"
"DDX10"	73	2.96	0.00305	0.054	"GSE14814"
"HNRNPAB"	40	2.96	0.00305	0.054	"GSE14814"
"CDK2"	66	2.96	0.00309	0.054	"GSE14814"
"PSMC3IP"	37	2.95	0.00317	0.054	"GSE14814"
"FOXM1"	110	2.95	0.00319	0.054	"GSE14814"
"PDAP1"	68	2.94	0.00329	0.054	"GSE14814"
"HSBP1"	69	2.94	0.00329	0.054	"GSE14814"
"HSPE1"	121	2.93	0.00342	0.054	"GSE14814"
"HRAS"	45	2.92	0.00347	0.054	"GSE14814"
"GTF2E2"	58	2.92	0.00347	0.054	"GSE14814"
"TBPL1"	90	2.92	0.00347	0.054	"GSE14814"
"AKAP8"	54	2.92	0.00349	0.054	"GSE14814"
"EIF4EBP1"	130	2.92	0.00351	0.054	"GSE14814"
"CERS6"	56	2.92	0.00356	0.054	"GSE14814"
"REXO4"	40	2.91	0.00366	0.0547	"GSE14814"
"TFG"	55	2.87	0.00416	0.0564	"GSE14814"
"CCDC59"	110	2.87	0.00416	0.0564	"GSE14814"
"YEATS2"	56	2.86	0.00419	0.0564	"GSE14814"
"HMGB2"	82	2.86	0.00424	0.0564	"GSE14814"
"ORC2"	61	2.86	0.00429	0.0564	"GSE14814"
"TTF2"	96	2.85	0.00435	0.0564	"GSE14814"
"DNM1L"	77	2.85	0.00438	0.0564	"GSE14814"
"ADIPOR2"	53	2.85	0.00439	0.0564	"GSE14814"
"PRKDC"	73	2.85	0.0044	0.0564	"GSE14814"
"CYCS"	145	2.84	0.00449	0.0564	"GSE14814"
"CHAF1A"	111	2.84	0.00452	0.0564	"GSE14814"
"TFRC"	81	2.84	0.00452	0.0564	"GSE14814"
"STMN1"	32	2.83	0.00461	0.0569	"GSE14814"
"MCM2"	135	2.83	0.00463	0.0569	"GSE14814"
"UBE2L3"	62	2.83	0.0047	0.0569	"GSE14814"
"MYBL2"	101	2.83	0.00471	0.0569	"GSE14814"
"CNOT7"	34	2.82	0.00484	0.0573	"GSE14814"
"MYC"	67	2.82	0.00485	0.0573	"GSE14814"
"CCNE1"	49	2.81	0.00488	0.0573	"GSE14814"
"MCM7"	111	2.81	0.00494	0.0573	"GSE14814"
"MED28"	51	2.81	0.005	0.0573	"GSE14814"
"TBP"	29	2.81	0.00503	0.0573	"GSE14814"
"GTF2A2"	108	2.81	0.00503	0.0573	"GSE14814"
"ZWINT"	104	2.8	0.00507	0.0573	"GSE14814"
"TGS1"	49	2.8	0.00518	0.0575	"GSE14814"
"TFB1M"	25	2.79	0.00524	0.0575	"GSE14814"
"ASF1A"	56	2.79	0.00528	0.0575	"GSE14814"
"ASF1B"	78	2.79	0.0053	0.0575	"GSE14814"
"TPD52L1"	48	2.79	0.0053	0.0575	"GSE14814"
"TFDP1"	59	2.78	0.00537	0.0581	"GSE14814"
"GLRX2"	35	2.77	0.00554	0.0597	"GSE14814"
"COPS3"	77	2.77	0.00565	0.0599	"GSE14814"
"ADAM17"	62	2.76	0.00574	0.0604	"GSE14814"
"ATF4"	40	2.76	0.00578	0.0605	"GSE14814"
"KLF5"	56	2.76	0.00586	0.0608	"GSE14814"
"TBC1D31"	31	2.75	0.00596	0.0608	"GSE14814"
"HMGA1"	88	2.75	0.00596	0.0608	"GSE14814"
"PPP5C"	44	2.74	0.0061	0.0616	"GSE14814"
"PSRC1"	50	2.73	0.00636	0.0628	"GSE14814"
"TMF1"	33	2.73	0.00637	0.0628	"GSE14814"
"RBBP7"	76	2.73	0.00642	0.0631	"GSE14814"
"TIMELESS"	66	2.71	0.00666	0.0641	"GSE14814"
"NTRK2"	109	2.71	0.00668	0.0641	"GSE14814"
"CEBPG"	85	2.71	0.00682	0.0648	"GSE14814"
"SOX2"	102	2.7	0.00688	0.0652	"GSE14814"
"MARK1"	48	2.7	0.00697	0.0654	"GSE14814"
"RAD51"	90	2.7	0.00703	0.0656	"GSE14814"
"TEAD4"	96	2.69	0.00713	0.0657	"GSE14814"
"SNAPC5"	86	2.69	0.00717	0.0658	"GSE14814"
"SUPT16H"	60	2.68	0.00745	0.067	"GSE14814"
"PSMC5"	64	2.67	0.00747	0.067	"GSE14814"
"TFAP2A"	39	2.67	0.0076	0.0672	"GSE14814"
"DKK1"	33	2.67	0.00763	0.0673	"GSE14814"
"KMT5A"	82	2.66	0.00773	0.0678	"GSE14814"
"MAPKAPK5"	32	2.66	0.00778	0.0678	"GSE14814"
"MKI67"	45	2.66	0.00778	0.0678	"GSE14814"
"LTBR"	37	2.66	0.0079	0.0678	"GSE14814"
"NKIRAS2"	29	2.65	0.00797	0.0678	"GSE14814"
"ACTL6A"	124	2.65	0.00807	0.0679	"GSE14814"
"GCLC"	73	2.65	0.00809	0.0679	"GSE14814"
"ACKR3"	56	2.64	0.00817	0.0682	"GSE14814"
"ERF"	33	2.64	0.00826	0.0683	"GSE14814"
"RBBP8"	49	2.64	0.00835	0.0684	"GSE14814"
"PRDX1"	75	2.64	0.00836	0.0684	"GSE14814"
"RAB6B"	77	2.63	0.00851	0.0685	"GSE14814"
"MCTS1"	73	2.63	0.00855	0.0685	"GSE14814"
"HDAC1"	59	2.63	0.00855	0.0685	"GSE14814"
"BCL11A"	42	2.62	0.00872	0.0687	"GSE14814"
