"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"EED"	45	3.28	0.00103	0.0482	"GSE14814"
"NIF3L1"	127	3.26	0.0011	0.0482	"GSE14814"
"ADNP"	67	3.26	0.00111	0.0482	"GSE14814"
"KHDRBS1"	78	3.25	0.00114	0.0482	"GSE14814"
"RPS6KB1"	35	3.23	0.00124	0.0482	"GSE14814"
"YWHAQ"	68	3.22	0.00126	0.0482	"GSE14814"
"YY1"	91	3.22	0.00129	0.0482	"GSE14814"
"PTGES3"	104	3.21	0.00135	0.0482	"GSE14814"
"CDC73"	91	3.2	0.00136	0.0482	"GSE14814"
"RAD21"	114	3.19	0.00141	0.0482	"GSE14814"
"NOLC1"	63	3.16	0.00157	0.0482	"GSE14814"
"AGFG1"	54	3.15	0.00161	0.0482	"GSE14814"
"KRAS"	74	3.15	0.00161	0.0482	"GSE14814"
"HTATSF1"	95	3.15	0.00163	0.0482	"GSE14814"
"PTPN11"	81	3.14	0.00169	0.0482	"GSE14814"
"MTDH"	101	3.14	0.00169	0.0482	"GSE14814"
"ELP1"	62	3.13	0.00174	0.0482	"GSE14814"
"GABPB1"	61	3.13	0.00176	0.0482	"GSE14814"
"PRKDC"	73	3.1	0.00191	0.0482	"GSE14814"
"MED14"	29	3.1	0.00192	0.0482	"GSE14814"
"RRN3"	61	3.09	0.00202	0.0482	"GSE14814"
"TARDBP"	129	3.08	0.00207	0.0482	"GSE14814"
"ATF1"	80	3.07	0.00217	0.0482	"GSE14814"
"MED17"	48	3.06	0.00219	0.0482	"GSE14814"
"DNM1L"	77	3.06	0.0022	0.0482	"GSE14814"
"RALBP1"	38	3.06	0.00221	0.0482	"GSE14814"
"SMAP1"	49	3.05	0.00231	0.0482	"GSE14814"
"TLK2"	32	3.05	0.00232	0.0482	"GSE14814"
"NAB1"	47	3.03	0.00242	0.0482	"GSE14814"
"HACD3"	71	3.03	0.00244	0.0482	"GSE14814"
"CBFB"	26	3.02	0.00252	0.0482	"GSE14814"
"ZFR"	104	3.02	0.00253	0.0482	"GSE14814"
"XPO1"	123	3.01	0.00257	0.0482	"GSE14814"
"COPS5"	98	3.01	0.0026	0.0482	"GSE14814"
"GMFB"	47	3.01	0.00261	0.0482	"GSE14814"
"PPM1A"	56	3.01	0.00264	0.0482	"GSE14814"
"RNF138"	50	3	0.00266	0.0482	"GSE14814"
"ACTL6A"	124	3	0.00268	0.0482	"GSE14814"
"RAB2A"	98	3	0.00269	0.0482	"GSE14814"
"COPS3"	77	3	0.0027	0.0482	"GSE14814"
"LRPPRC"	112	3	0.00271	0.0482	"GSE14814"
"SRPK2"	46	2.99	0.00276	0.0482	"GSE14814"
"WDR12"	109	2.99	0.0028	0.0482	"GSE14814"
"TIAL1"	67	2.99	0.00282	0.0482	"GSE14814"
"ATIC"	67	2.98	0.00286	0.0482	"GSE14814"
"BUB1B"	89	2.97	0.003	0.0482	"GSE14814"
"MCM6"	96	2.97	0.003	0.0482	"GSE14814"
"HMGXB4"	46	2.97	0.00301	0.0482	"GSE14814"
"TFB2M"	93	2.96	0.00303	0.0482	"GSE14814"
"NUP98"	34	2.96	0.00304	0.0482	"GSE14814"
"RPS6KC1"	65	2.96	0.00304	0.0482	"GSE14814"
"CUL3"	133	2.96	0.00304	0.0482	"GSE14814"
"MSH6"	92	2.96	0.00306	0.0482	"GSE14814"
"DDX1"	81	2.96	0.00306	0.0482	"GSE14814"
"HSPD1"	130	2.95	0.00321	0.0482	"GSE14814"
"PPP2R5E"	69	2.95	0.00321	0.0482	"GSE14814"
"RCOR1"	30	2.94	0.00323	0.0482	"GSE14814"
"RAN"	56	2.94	0.00325	0.0482	"GSE14814"
"TDG"	93	2.94	0.00325	0.0482	"GSE14814"
"RHEB"	64	2.94	0.0033	0.0482	"GSE14814"
"MORF4L2"	61	2.94	0.00333	0.0482	"GSE14814"
"HDAC2"	85	2.93	0.00336	0.0482	"GSE14814"
"TCERG1"	95	2.93	0.00343	0.0482	"GSE14814"
"TTF2"	96	2.92	0.00346	0.0482	"GSE14814"
"OCRL"	28	2.92	0.00347	0.0482	"GSE14814"
"RNF6"	29	2.92	0.00347	0.0482	"GSE14814"
"SUZ12"	54	2.92	0.00349	0.0482	"GSE14814"
"HNRNPK"	124	2.92	0.00351	0.0482	"GSE14814"
"MAPK1"	71	2.92	0.00352	0.0482	"GSE14814"
"UBE2D3"	81	2.92	0.00355	0.0482	"GSE14814"
"NAE1"	83	2.91	0.00365	0.0482	"GSE14814"
"PIK3C3"	78	2.91	0.00365	0.0482	"GSE14814"
"FNTA"	65	2.91	0.00367	0.0482	"GSE14814"
"STAMBP"	58	2.91	0.00367	0.0482	"GSE14814"
"RBBP7"	76	2.9	0.00368	0.0482	"GSE14814"
"FUBP3"	48	2.9	0.00373	0.0482	"GSE14814"
"E2F6"	51	2.9	0.00377	0.0482	"GSE14814"
"RACGAP1"	121	2.89	0.00385	0.0482	"GSE14814"
"RAB11A"	54	2.89	0.00385	0.0482	"GSE14814"
"CRK"	103	2.89	0.00386	0.0482	"GSE14814"
"RYK"	79	2.89	0.00386	0.0482	"GSE14814"
"SMC1A"	40	2.89	0.00389	0.0482	"GSE14814"
"HMGCR"	57	2.89	0.0039	0.0482	"GSE14814"
"BNIP3"	63	2.88	0.00393	0.0482	"GSE14814"
"UBP1"	75	2.88	0.00394	0.0482	"GSE14814"
"VAPA"	92	2.88	0.00395	0.0482	"GSE14814"
"GMNN"	84	2.88	0.00397	0.0482	"GSE14814"
"ATP2A2"	43	2.88	0.00397	0.0482	"GSE14814"
"G3BP2"	76	2.88	0.00398	0.0482	"GSE14814"
"CNOT7"	34	2.88	0.00399	0.0482	"GSE14814"
"CHUK"	51	2.88	0.00399	0.0482	"GSE14814"
"BZW1"	99	2.88	0.00402	0.0482	"GSE14814"
"MED6"	41	2.88	0.00403	0.0482	"GSE14814"
"STAM"	61	2.87	0.00408	0.0482	"GSE14814"
"G3BP1"	61	2.87	0.00412	0.0482	"GSE14814"
"ABI1"	61	2.86	0.00418	0.0482	"GSE14814"
"CAND1"	61	2.86	0.0042	0.0482	"GSE14814"
"PPFIA1"	44	2.86	0.00427	0.0483	"GSE14814"
