"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"CHAF1A"	111	3.45	0.000564	0.0812	"GSE14814"
"RAB3B"	38	3.38	0.000723	0.0812	"GSE14814"
"HOXD11"	35	3.36	0.000792	0.0812	"GSE14814"
"POLE"	59	3.34	0.000848	0.0812	"GSE14814"
"GNB1L"	94	3.23	0.00124	0.0812	"GSE14814"
"LTB4R"	34	3.19	0.00143	0.0812	"GSE14814"
"NKX2-5"	25	3.12	0.00183	0.0812	"GSE14814"
"ZNF696"	38	3.09	0.00202	0.0812	"GSE14814"
"HOXD10"	66	3.03	0.00244	0.0812	"GSE14814"
"ZNF556"	25	3.03	0.00244	0.0812	"GSE14814"
"GTSE1"	114	3.02	0.00256	0.0812	"GSE14814"
"NKIRAS2"	29	3	0.00266	0.0812	"GSE14814"
"WIZ"	76	3	0.00267	0.0812	"GSE14814"
"MARK1"	48	2.99	0.00276	0.0812	"GSE14814"
"MYBL2"	101	2.98	0.00285	0.0812	"GSE14814"
"NR2E3"	94	2.95	0.00317	0.0812	"GSE14814"
"SMO"	31	2.93	0.00342	0.0812	"GSE14814"
"ESRRB"	29	2.92	0.00347	0.0812	"GSE14814"
"CCNE1"	49	2.91	0.00357	0.0812	"GSE14814"
"GRM5"	36	2.91	0.00363	0.0812	"GSE14814"
"REXO4"	40	2.9	0.00374	0.0812	"GSE14814"
"AFP"	42	2.89	0.00381	0.0812	"GSE14814"
"CHAF1B"	73	2.89	0.00381	0.0812	"GSE14814"
"FOXL2"	35	2.88	0.004	0.0812	"GSE14814"
"GID4"	33	2.87	0.00405	0.0812	"GSE14814"
"PLEKHH3"	61	2.85	0.00435	0.0812	"GSE14814"
"PLEKHG3"	29	2.83	0.00465	0.0812	"GSE14814"
"AVPR1B"	39	2.83	0.00467	0.0812	"GSE14814"
"PDX1"	98	2.83	0.00468	0.0812	"GSE14814"
"ATP2A1"	28	2.83	0.00472	0.0812	"GSE14814"
"AKAP8"	54	2.82	0.00486	0.0812	"GSE14814"
"S1PR5"	54	2.82	0.00487	0.0812	"GSE14814"
"FANCE"	62	2.81	0.00492	0.0812	"GSE14814"
"DUSP21"	71	2.81	0.00496	0.0812	"GSE14814"
"GHSR"	31	2.8	0.00504	0.0812	"GSE14814"
"NEUROG3"	28	2.8	0.00505	0.0812	"GSE14814"
"PPP5C"	44	2.8	0.00518	0.0812	"GSE14814"
"HOXC13"	37	2.79	0.00526	0.0812	"GSE14814"
"HTR7"	32	2.78	0.00539	0.0812	"GSE14814"
"ZBTB40"	51	2.77	0.00555	0.0812	"GSE14814"
"ZNF8"	27	2.77	0.00557	0.0812	"GSE14814"
"NOCT"	210	2.77	0.00558	0.0812	"GSE14814"
