"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"PCNA"	71	3.45	0.000555	0.0588	"GSE14814"
"LRP12"	27	3.45	0.000564	0.0588	"GSE14814"
"CENPU"	75	3.44	0.000583	0.0588	"GSE14814"
"TRIP13"	91	3.38	0.000728	0.0588	"GSE14814"
"CDKN2A"	66	3.38	0.000735	0.0588	"GSE14814"
"CHEK1"	61	3.35	0.000816	0.0588	"GSE14814"
"CENPF"	106	3.32	0.000901	0.0588	"GSE14814"
"NDC80"	85	3.3	0.000963	0.0588	"GSE14814"
"BUB1B"	89	3.29	0.000985	0.0588	"GSE14814"
"MCM4"	102	3.27	0.00106	0.0588	"GSE14814"
"CCNA2"	81	3.27	0.00109	0.0588	"GSE14814"
"TTK"	75	3.27	0.00109	0.0588	"GSE14814"
"SSRP1"	65	3.26	0.00112	0.0588	"GSE14814"
"CYCS"	145	3.26	0.00112	0.0588	"GSE14814"
"CKS2"	98	3.26	0.00113	0.0588	"GSE14814"
"TYMS"	66	3.25	0.00113	0.0588	"GSE14814"
"AURKA"	94	3.25	0.00117	0.0588	"GSE14814"
"GMNN"	84	3.24	0.00121	0.0588	"GSE14814"
"RANBP1"	113	3.24	0.00121	0.0588	"GSE14814"
"ADIPOR2"	53	3.23	0.00124	0.0588	"GSE14814"
"RFC4"	133	3.23	0.00125	0.0588	"GSE14814"
"ELOC"	101	3.22	0.00126	0.0588	"GSE14814"
"PMAIP1"	41	3.22	0.00128	0.0588	"GSE14814"
"HSPE1"	121	3.21	0.00134	0.0588	"GSE14814"
"FEN1"	98	3.21	0.00134	0.0588	"GSE14814"
"DDX10"	73	3.2	0.00139	0.0588	"GSE14814"
"EZH2"	44	3.2	0.00139	0.0588	"GSE14814"
"TIPIN"	41	3.19	0.00143	0.0588	"GSE14814"
"TOP2A"	118	3.19	0.00143	0.0588	"GSE14814"
"ORC2"	61	3.19	0.00145	0.0588	"GSE14814"
"STMN1"	32	3.18	0.00148	0.0588	"GSE14814"
"MCM3"	62	3.17	0.00151	0.0588	"GSE14814"
"PTTG1"	96	3.17	0.00152	0.0588	"GSE14814"
"BRCA1"	57	3.17	0.00153	0.0588	"GSE14814"
"ATAD2"	60	3.16	0.00156	0.0588	"GSE14814"
"GMPS"	62	3.16	0.0016	0.0588	"GSE14814"
"DEPDC1"	50	3.15	0.00163	0.0588	"GSE14814"
"CKS1B"	127	3.15	0.00165	0.0588	"GSE14814"
"TBP"	29	3.14	0.00168	0.0588	"GSE14814"
"HSBP1"	69	3.14	0.00169	0.0588	"GSE14814"
"MCM6"	96	3.14	0.0017	0.0588	"GSE14814"
"ADAM17"	62	3.13	0.00174	0.0588	"GSE14814"
"SLIRP"	131	3.13	0.00176	0.0588	"GSE14814"
"RBBP7"	76	3.13	0.00177	0.0588	"GSE14814"
"MNAT1"	74	3.11	0.00185	0.0588	"GSE14814"
"SPAG5"	54	3.11	0.00187	0.0588	"GSE14814"
"SET"	77	3.1	0.00192	0.0588	"GSE14814"
"WDR12"	109	3.1	0.00194	0.0588	"GSE14814"
"NKRF"	52	3.1	0.00195	0.0588	"GSE14814"
"UBE2C"	84	3.09	0.00203	0.0588	"GSE14814"
"ECT2"	139	3.09	0.00203	0.0588	"GSE14814"
"GTF2A2"	108	3.08	0.00204	0.0588	"GSE14814"
"HMGB2"	82	3.08	0.00209	0.0588	"GSE14814"
"GLRX2"	35	3.07	0.00213	0.0588	"GSE14814"
"DNM1L"	77	3.07	0.00215	0.0588	"GSE14814"
"HNRNPAB"	40	3.07	0.00216	0.0588	"GSE14814"
"CCDC59"	110	3.07	0.00217	0.0588	"GSE14814"
"ZNF706"	84	3.07	0.00217	0.0588	"GSE14814"
"RACGAP1"	121	3.06	0.00221	0.0588	"GSE14814"
"TBPL1"	90	3.05	0.00228	0.0588	"GSE14814"
"ZWINT"	104	3.05	0.00231	0.0588	"GSE14814"
"JAG2"	44	3.04	0.00233	0.0588	"GSE14814"
"TAF5"	61	3.03	0.00242	0.0588	"GSE14814"
"PRMT1"	98	3.02	0.00251	0.0588	"GSE14814"
"COPS3"	77	3.02	0.00253	0.0588	"GSE14814"
"SNAPC5"	86	3.02	0.00254	0.0588	"GSE14814"
"ASF1A"	56	3.01	0.0026	0.0588	"GSE14814"
"PSMC3IP"	37	3.01	0.00264	0.0588	"GSE14814"
"TFB1M"	25	3.01	0.00264	0.0588	"GSE14814"
"BEX3"	34	3.01	0.00265	0.0588	"GSE14814"
"FOXM1"	110	3	0.00266	0.0588	"GSE14814"
"TRIAP1"	83	3	0.00267	0.0588	"GSE14814"
"RBBP8"	49	3	0.00273	0.0588	"GSE14814"
"TFDP1"	59	2.99	0.00279	0.0588	"GSE14814"
"RALA"	49	2.99	0.00282	0.0588	"GSE14814"
"TXN"	130	2.98	0.00285	0.0588	"GSE14814"
"GTSE1"	114	2.98	0.00287	0.0588	"GSE14814"
"PRKDC"	73	2.98	0.00291	0.0588	"GSE14814"
"TFG"	55	2.97	0.00293	0.0588	"GSE14814"
"FZD10"	44	2.96	0.00312	0.0588	"GSE14814"
"ACTL6A"	124	2.95	0.00315	0.0588	"GSE14814"
"MAPK6"	87	2.95	0.00316	0.0588	"GSE14814"
"TTF2"	96	2.95	0.00319	0.0588	"GSE14814"
"CDK2"	66	2.95	0.00321	0.0588	"GSE14814"
"EIF4EBP1"	130	2.93	0.00336	0.0588	"GSE14814"
"GTF2E2"	58	2.93	0.00337	0.0588	"GSE14814"
"MYC"	67	2.93	0.00343	0.0589	"GSE14814"
"TFDP2"	45	2.92	0.00346	0.0589	"GSE14814"
"HMGA1"	88	2.92	0.00351	0.059	"GSE14814"
"MCTS1"	73	2.91	0.00358	0.059	"GSE14814"
"CNOT7"	34	2.91	0.00362	0.059	"GSE14814"
"MKI67"	45	2.91	0.00363	0.059	"GSE14814"
"CEBPG"	85	2.9	0.00372	0.059	"GSE14814"
"PHF10"	28	2.89	0.00389	0.0591	"GSE14814"
"AURKB"	97	2.87	0.00408	0.0598	"GSE14814"
"COPS5"	98	2.87	0.0041	0.0598	"GSE14814"
"DNMT3B"	53	2.87	0.00412	0.0598	"GSE14814"
"SNAPC1"	42	2.86	0.00419	0.0598	"GSE14814"
