"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"GTF2IRD1"	30	3.74	0.000188	0.0993	"GSE14814"
"ADORA2B"	40	3.62	0.000299	0.0993	"GSE14814"
"NLE1"	46	3.59	0.000333	0.0993	"GSE14814"
"LANCL2"	46	3.48	0.000493	0.0993	"GSE14814"
"MAPK13"	52	3.4	0.000677	0.0993	"GSE14814"
"PPP2R5D"	63	3.39	0.000687	0.0993	"GSE14814"
"ZNF282"	73	3.38	0.000728	0.0993	"GSE14814"
"TRIP6"	52	3.37	0.00074	0.0993	"GSE14814"
"CSNK2A2"	64	3.32	0.000893	0.0993	"GSE14814"
"TFAP2C"	36	3.31	0.000935	0.0993	"GSE14814"
"PRMT5"	91	3.3	0.000965	0.0993	"GSE14814"
"EPHA1"	39	3.29	0.00102	0.0993	"GSE14814"
"CDK5"	42	3.27	0.00106	0.0993	"GSE14814"
"PHB"	110	3.26	0.00112	0.0993	"GSE14814"
"PUF60"	106	3.25	0.00115	0.0993	"GSE14814"
"CIAO1"	118	3.25	0.00116	0.0993	"GSE14814"
"MRPL12"	170	3.24	0.00119	0.0993	"GSE14814"
"PPP4C"	78	3.23	0.00122	0.0993	"GSE14814"
"TRIB3"	27	3.23	0.00125	0.0993	"GSE14814"
"WDR77"	68	3.23	0.00126	0.0993	"GSE14814"
"NUP93"	88	3.19	0.00141	0.0993	"GSE14814"
"SNF8"	56	3.19	0.00142	0.0993	"GSE14814"
"ABT1"	47	3.19	0.00142	0.0993	"GSE14814"
"DNAJA3"	67	3.18	0.00148	0.0993	"GSE14814"
"TOLLIP"	46	3.17	0.00154	0.0993	"GSE14814"
"EBP"	51	3.16	0.00156	0.0993	"GSE14814"
"PSMC3"	79	3.15	0.00165	0.0993	"GSE14814"
"ARF5"	53	3.12	0.00183	0.0993	"GSE14814"
"MIF"	145	3.11	0.00186	0.0993	"GSE14814"
"CDK4"	126	3.11	0.00189	0.0993	"GSE14814"
"MRPL28"	67	3.1	0.00195	0.0993	"GSE14814"
"RANGAP1"	96	3.1	0.00196	0.0993	"GSE14814"
"IRAK1"	60	3.09	0.00199	0.0993	"GSE14814"
"PTPRF"	55	3.08	0.00206	0.0993	"GSE14814"
"FIBP"	137	3.07	0.00211	0.0993	"GSE14814"
"RUVBL1"	97	3.07	0.00211	0.0993	"GSE14814"
"NELFCD"	77	3.07	0.00215	0.0993	"GSE14814"
"PAK6"	33	3.07	0.00216	0.0993	"GSE14814"
"MLST8"	74	3.06	0.00219	0.0993	"GSE14814"
"PDCD11"	88	3.06	0.00221	0.0993	"GSE14814"
"ICMT"	43	3.05	0.00226	0.0993	"GSE14814"
"MEN1"	93	3.05	0.00231	0.0993	"GSE14814"
"ZNF74"	35	3.04	0.00234	0.0993	"GSE14814"
"PARP1"	103	3.04	0.00237	0.0993	"GSE14814"
"BAD"	67	3.04	0.00238	0.0993	"GSE14814"
"PGAP2"	68	3.04	0.0024	0.0993	"GSE14814"
"STYXL1"	34	3.03	0.00241	0.0993	"GSE14814"
"MCM7"	111	3.03	0.00247	0.0993	"GSE14814"
"SNX17"	69	3.02	0.00249	0.0993	"GSE14814"
"SCAND1"	109	3.02	0.00255	0.0993	"GSE14814"
"PQBP1"	80	3.01	0.00262	0.0993	"GSE14814"
"FGD1"	26	3.01	0.00264	0.0993	"GSE14814"
"RUVBL2"	153	3	0.00267	0.0993	"GSE14814"
"SIVA1"	85	3	0.00268	0.0993	"GSE14814"
"ARHGEF5"	99	2.99	0.00276	0.0993	"GSE14814"
"H2AFX"	88	2.99	0.00279	0.0993	"GSE14814"
"ELP5"	47	2.99	0.00279	0.0993	"GSE14814"
"ASCC2"	48	2.98	0.00292	0.0993	"GSE14814"
"RIOX1"	73	2.96	0.00307	0.0993	"GSE14814"
"DIABLO"	69	2.95	0.00316	0.0993	"GSE14814"
"TARBP2"	111	2.95	0.0032	0.0993	"GSE14814"
"RFXANK"	114	2.95	0.0032	0.0993	"GSE14814"
"EGLN1"	64	2.94	0.0033	0.0993	"GSE14814"
"ZNHIT1"	91	2.92	0.00354	0.102	"GSE14814"
"HMGA1"	88	2.92	0.00355	0.102	"GSE14814"
"SCRIB"	45	2.91	0.00363	0.102	"GSE14814"
"PCBP1"	98	2.9	0.00372	0.102	"GSE14814"
