"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	235	64	37	2.96197822894628e-38	1.48098911447314e-36	"BASP1 COL1A1 CTGF DPYSL3 ECM1 FLNA FOXC2 FSTL1 FSTL3 GADD45B GAS1 GJA1 GREM1 IGFBP3 INHBA ITGA2 ITGA5 ITGAV ITGB5 LGALS1 LOXL2 LRP1 MMP14 MSX1 PDGFRB PMEPA1 PRRX1 RGS4 SLIT2 SNAI2 SPOCK1 TGFB1 TGM2 THBS1 THY1 TNFAIP3 TPM4"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	235	128	23	7.20909002849494e-11	1.80227250712373e-09	"BHLHE40 CCL2 CDKN1A CEBPB FOSL2 GADD45B GPR183 IL1B INHBA JUNB KLF10 KLF6 MSC NFIL3 PDE4B PLK2 PMEPA1 RELB SOCS3 SPHK1 SPSB1 TNFAIP3 TNFAIP6"
"HALLMARK_HYPOXIA"	235	79	18	8.36283811752709e-11	1.39380635292118e-09	"AKAP12 ANGPTL4 BHLHE40 CDKN1A CTGF CXCR4 DDIT4 ETS1 FOSL2 IGFBP3 KLF6 KLF7 MYH9 NFIL3 PIM1 TGFB3 TGM2 TNFAIP3"
"HALLMARK_KRAS_SIGNALING_UP"	235	97	19	5.13234599520699e-10	6.41543249400874e-09	"AKAP12 ANGPTL4 CCND2 CXCR4 EREG ETS1 IGFBP3 IL1B INHBA ITGA2 ITGBL1 LY96 MAFB PEG3 PLAT PRDM1 PRRX1 TNFAIP3 TRIB2"
"HALLMARK_INFLAMMATORY_RESPONSE"	235	141	21	1.70314875054239e-08	1.70314875054239e-07	"AXL CCL2 CDKN1A EREG FPR1 GPR183 HIF1A HRH1 IL1B IL1R1 INHBA ITGA5 ITGB8 KLF6 LPAR1 MMP14 PDE4B PDPN PTGIR SPHK1 TNFAIP6"
"HALLMARK_MYOGENESIS"	235	84	14	5.94181186803122e-07	4.95150989002601e-06	"AEBP1 BHLHE40 CDH13 CDKN1A COL1A1 CRYAB GADD45B IGF1 IGFBP3 ITGB5 MYH9 PTGIS SPHK1 TGFB1"
"HALLMARK_ANGIOGENESIS"	235	13	5	4.38205825595037e-06	3.13004161139312e-05	"CCND2 FGFR1 FSTL1 ITGAV MSX1"
"HALLMARK_COMPLEMENT"	235	93	13	1.15228830668937e-05	7.20180191680858e-05	"ANXA5 CDH13 CEBPB FYN GNAI2 LRP1 MMP14 PIM1 PLAT SH2B3 TNFAIP3 ZEB1 ZFPM2"
"HALLMARK_UV_RESPONSE_DN"	235	84	12	1.75337705002884e-05	9.74098361127133e-05	"AKT3 APBB2 ATXN1 BHLHE40 COL1A1 FHL2 FYN GJA1 LPAR1 PDGFRB RGS4 SNAI2"
"HALLMARK_ALLOGRAFT_REJECTION"	235	121	13	0.000223151533450015	0.00111575766725007	"CCL2 CCND2 EREG ETS1 F2R FCGR2B FLNA HIF1A IL11 IL1B INHBA TGFB1 THY1"
"HALLMARK_COAGULATION"	235	44	7	0.000241401036112617	0.00109727743687553	"FYN ITGA2 KLF7 LRP1 MMP14 PLAT THBS1"
"HALLMARK_APOPTOSIS"	235	103	11	0.000587966190720738	0.00244985912800308	"AVPR1A CCND2 CDKN1A EREG F2R GADD45B IGFBP6 IL1B LEF1 PDGFRB PLAT"
